,SailNo,Helm,Crew,Club,R1,R2,R3,R4,Total,Nett,Rank
RSA,8445,Kyle Klaas,Robert Von Gruenewaldt,PSC,(4.0),1,1,2,8,4,1st
RSA,8481,T Funke,P Funke,PSC,2,2,(4.0),1,9,5,2nd
RSA,8789,Alex Ham,Warwick Ham,PSC,1,3,2,(5.0),11,6,3rd
RSA,7493,Mark Biagio,Scott Quarmby,PSC,(5.0),4,3,3,15,10,4th
RSA,8707,Albrecht Holm,Christiaain Holm,PSC,3,(5.0),5,4,17,12,5th
RSA,8471,Andrew Connold,Dru Connold,PSC,(7.0 DNC),7.0 DNF,7.0 DNF,6,27,20,6th
