Nation,Sail No,Skipper,Crew,Boat Name,R1,R2,R3,R4,R5,R6,R7,R8,R9,Pts,Pos
AUS,9202,Michael Holt,Rob Woefel,IO Integration.com,1,2,1,2,[3],[3],2,2,1,11,1
,9190,Jan Saugmann,Marcus Cooper,Overweight Sporting,[12],3,[7],7,2,1,3,3,3,22,2
AUS,8794,Michael Babbage,James McAllister,Alvin Rides Again,4,1,2,[13],5,2,[7],7,5,26,3
AUS,9134,Michael Quirk,Joel Castle,Dazed & Confused,6,4,[9],1,7,[41Q],1,4,4,27,4
,9191,Malcolm Higgins,Nick Johston,Hawaii Five‑0,2,[10],5,3,1,6,5,5,[10],27,5
,9167,Nigel Lott,Robert Franks,Sweaty Betty,9,5,[10],[11],6,8,4,1,2,35,6
,8760,Daniel Keys,Daryl Roos,Intergalactic,5,8,4,[14],[9],9,8,6,8,48,7
AUS,8920,Jeffrey Robinson,Adam Wyatt,ASAP,11,12,3,4,8,[28],12,[14],9,59,8
,8817,Michael Duffield,Anthony Gaunt,Tensing Norgay,7,6,[15],6,4,14,[15],12,13,62,9
,9115,Dean Souter,Bradley Clarke,Sailingbits.com,8,7,6,5,[36F],[17],16,9,11,62,10
,8893,Ryan Menzies,Lachlan Hornsby,Yeah Buddy,[39F],11,8,10,[36F],4,19,8,6,66,11
AUS,8957,Peter Woolman,Phil Scapens,More Noodles,10,9,13,12,13,5,13,[19],[17],75,12
,8557,Neil Long,Jamie Pirret,Whatever,3,15,11,8,14,[23],20,13,[22],84,13
,8811,Matt Hansen,Chris White,Crimson Autography,17,[26],14,9,[19],13,17,11,12,93,14
,9022,Ian Burford,David Christie,Hit The Jackpot,20,16,[38F],16,10,10,6,[26],23,101,15
,8890,Martin Pike,Brian Jones,Groove Train,13,13,12,17,11,21,[24],[22],19,106,16
,8781,Christy Bowden,Ian Gregg,Beauty and the Beast,[21],[41C],16,15,17,16,10,17,20,111,17
,8759,Tom Stivano,Simon Burt,The Missus,[39F],[41C],23,18,20,12,11,16,18,118,18
,8809,Richard Gallimore,Wade Croak,Holidays,19,[20],[21],20,12,19,18,15,16,119,19
,8877,Amy Lee,Justin Mulkearns,Go,[39F],[27],24,21,18,7,14,23,15,122,20
,8173,Brian Pike,Riley Pike,Bad Habits,23,17,[25],22,16,[25],21,20,21,140,21
,9047,Christopher Paterson,Edmond Repsevicius,Bird,15,25,17,23,23,[33],[41F],24,14,141,22
,8840,Matt Brooman,Michael Gallagher,Manalive,18,14,19,24,15,[32],29,25,[34],144,23
,8855,Nicholas Mariani,Alexander Thomson,Epileptic Octopus,[25],[30F],22,19,25,15,25,18,24,148,24
,8785,James Ryssenbeek,Andrew McCole,Card Sharks,14,19,26,[31],21,22,28,28,[29],158,25
AUS,9074,Earle Alexander,Patrick Attwell,Earle Grey 2,[41C],[41C],41C,41C,41C,11,9,10,7,160,26
,8803,Michael Whitmore,John Hillcoat,Mistress Says Faster,16,21,18,26,24,[37],[36],31,27,163,27
AUS,9018,Brett Bowden,Rob Tikoft,Eighteen,[39F],24,20,27,27,20,27,[30],30,175,28
,8682,Richard Hyde,Lindsay Gilbert,Go To Red,22,18,[38F],28,31,31,26,29,[32],185,29
,8523,Jody Shiels,Marcus Castle,Where's Wally For Sa,[39F],[41C],28,25,22,24,32,34,31,196,30
,8795,John Campbell,Peter Croft,Sleek,26T,[41C],29,29,30,29,[38],32,26,201,31
,8968,Noah Taylor,David Mole,Devils Haircut,39F,22,[41C],[41C],41C,26,23,27,28,206,32
,8626,Edward Cox,Chris Malcolm,Minerva,39F,30F,27,[41C],[41C],27,22,21,41F,207,33
,8499,Xavier Agnew,Michael Cook,Like Soda,24,[41C],32,33,26,30,34,33,[36],212,34
,8637,Sam GA,Martin Smith,Blowflies,[39F],23,31,32,28,[38],37,36,38,225,35
,8783,Sarah Cooper,Amy How,Lucyfurr,[39F],[41C],30,30,29,34,30,39,35,227,36
,9037,Maggie Bowden,Patrick Attwell,Starboard Air,[41C],[41C],41C,41C,41C,18,31,37,25,234,37
,8922,Michael Lawrence,David Johnson,TwentyOne,[39F],[41C],34,34,32T,39,39,35,39,252,38
,8891,Adrian Cooper,Wendy Banks,The Surly Mermaid,39F,[41C],33,[41C],36F,35,35,41F,33,252,39
,8738,Sarah Macarthur‑King,John Macarthur‑King,A Salt Weapon,39F,[41C],35,36F,[41C],36,33,38,37,254,40
