Nat,Sail No,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,R7,Pts,Pos
USA,9072,Mike Holt,Rob Woelfel,Santa Cruz YC,1,1,‑2,2,1,1,1,7,1st
USA,9153,Howie Hamlin,Jeff Nelson,Newport Harbor YC,‑4,3,4,4,2,2,2,17,2nd
GBR,9088,Andy Smith,Tim Needham/Neil Hunter,Notts. County SC,5,2,1,1,(DNF),9,3,21,3rd
GBR,9117,Tom Gillard,Richard Anderton,Hayling Island SC,2,6,3,3,4,5,‑8,23,4th
GBR,9136,Ian Pinnell,Alex Davies,Northampton SC,3,4,5,‑12,3,6,7,28,5th
GBR,9155,Paul Brotherton,Mark Andrews,Glossop SC,6,(DNF),8,6,7,3,4,34,6th
GBR,9124,Terry Scutcher,Christian Diebitsch,Shotley SC,‑13,8,7,5,5,4,6,35,7th
GBR,9085,Charlie Walters,Dougal Cram,Datchet Water SC,8,10,6,7,6,11,‑12,48,8th
CAN,8970,Bob Tennant,Steve Bourdow,Royal Victoria YC,‑14,7,9,8,8,13,10,55,9th
GER,0,Thure Gnadeberg,Aron Tellen,Baltische Segler,10,‑16,10,9,10,14,15,68,10th
GBR,8514,Ben Illiffe,Richard Nurse,King George SC,12,14,11,10,11,17,(DNS),75,11th
GBR,8905,Stuart Turnbull,Andrew George,Burton SC,18,12,(RET),11,9,15,16,81,12th
GBR,9145,Jim McGillivray,Ian McGillivray,Prestwick SC,21,19,15,14,13,‑22,17,99,13th
AUS,9134,Michael Quirk,Nathan Quirk,Royal Prince Edward YC,7,5,(RET),DNC,DNC,8,13,101,14th
GBR,9125,Roger Deane,Tim Williams,Rock SC,25,18,13,13,12,20,(DNF),101,15th
USA,8680,Douglas Hagan,Paul von Grey,,11,EXN,(RET),DNC,DNC,7,5,108,16th
GBR,9002,Peter Bennett,Andy Phillips,Shoreham SC,15,15,12,(RET),DNC,18,18,112,17th
AUS,9028,Earl Alexander,Rob Burdekin,Darwin Point SC,9,11,(RET),DNC,DNC,16,14,118,18th
GBR,9104,Harry Briddon,Adam Kenney,Ogston SC/Burton SC,20,13,(RET),DNC,DNC,12,11,124,19th
GBR,8860,Bobbie Johnson,James King,Chase SC,16,20,16,(RET),DNC,21,20,127,20th
GBR,9142,Martin Hodgson,Neil Fulcher,Stone SC,19,(DNC),RET,DNC,DNC,10,9,140,21st
GBR,8340,Martin Coult,Tim Octon,Frensham Pond SC,31,27,14,(RET),DNC,24,21,151,22nd
GBR,9036,Martin Wedge,Scott Allen,RTYC,23,25,(RET),DNC,DNC,19,23,158,23rd
GBR,8650,Terry Selfe,Alan Montague,Stone SC,17,17,(RET),DNC,DNC,23,DNS,159,24th
GBR,8881,Neil Rabbitts,Richard LeMare,Burton SC,26,22,(RET),DNC,DNC,26,19,161,25th
GBR,8511,Alex Shaw,Neil Smith,Manor Park SC,24,23,(DNS),DNC,DNC,27,24,166,26th
GBR,8780,Martin Wright,Arthur George,Northampton SC,30,21,(RET),DNC,DNC,28,DNF,181,27th
USA,8441,Olav Schluter,Matthew Amiss,Weston SC,22,24,(RET),DNC,DNC,DNF,DNC,182,28th
USA,7069,Ian O'Leary,Christopher,Balboa YC,(RET),DNC,RET,DNC,DNC,25,22,183,29th
GBR,8,Dave Bell,Ian Merryfield,Burton SC,29,26,(DNC),DNC,DNC,DNS,DNC,191,30th
GBR,8055,Gary Fowler,Mark Fowler,Hunt SC,32,28,(RET),DNC,DNC,DNC,DNC,196,31st
GBR,9156,Mike Pickering,Mike Priddle,,27,(DNF),DNC,DNC,DNC,DNF,DNC,197,32nd
GBR,8793,Mike Male,Nick Frampton,Castle Cove SC,28,(DNF),DNS,DNC,DNC,DNF,DNC,198,33rd
