Nation,Boat NO,Helm,Crew,Boot name,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Points,Position
AUS,8667,Scott Olsen,Clay Cook,Swing Shift,1,1,1,1,1,1,DNF,1,1st
AUS,8668,Matt Hansen,Mike Navarro,Cosmic Hippo,2,2,2,4,2,2,DNF,23,2nd
AUS,8588,Mark Stowell,D Bentley,Project,7,6,4,2,4,3,1,36.4,3rd
AUS,8501,Stuart Campbell,Ian Pinder,Hot Persuit,5,4,3,6,3,4,3,43.1,4th
AUS,8182,Anthony Gaunt,Michael Duffeild,SOTS,3,5,6,5,5,6,2,46.1,5th
AUS,7984,Ross Brennan,Ross,Dash,4,5,5,3,6,5,DNF,55.4,6th
AUS,8274,John Hands,Ron Wilson,Minus 5,6,7,7,DNF,7,7,4,71.7,7th
AUS,7515,Nick Hancock,,Hoochie Coochie,8,8,8,7,8,9,DNF,84,8th
AUS,7293,Marcos Vivian,,Double Up,DNF,DNF,DNF,DNF,DNF,DNF,DNS,96,9th
AUS,8175,Scott Monro,Duncan Tangaroa,,DNF,DNF,DNF,DNF,DNF,DNF,DNF,96,10th
