Nation,Booat No,Helm,Crew,,Race 1,Race 2,Race 3,Points,Netto,Place
GBR,8701,R Napier,M Bristow,,1,1,3,5,5,1
GBR,8694,A Williams,,,2,2,2,6,6,2
GBR,8678,Jim Berry,,,10,3,1,14,14,3
IRL,8269,P Scannell,M O'Donavan,,5,4,5,14,14,3
IRL,7720,E Barry,S O'Connell,,3,6,8,17,17,5
IRL,8752,M O'Brien,Kieran O'Leary,,4,8,6,18,18,6
GBR,8474,C Thorne,,,6,5,10,21,21,7
IRL,848*,W Cuppage,D O'Connell,,12,7,4,23,23,8
IRL,8123,R Dumphy,R Harrington,,7,9,11,27,27,9
IRL,7914,R Kenneally,C Kenneally,,11,11,7,29,29,10
IRL,8309,James O'Brien,Dion Barrett,,8,12,12,32,32,11
IRL,8408,G Radley,B Joyce,,15,10,9,34,34,12
IRL,7973,R Bateman,M D'Alton,,9,16,16,41,41,13
IRL,7302,D Stanley,J Mc Carthy,,14,13,16,43,43,14
IRL,8203,S Kennedy,S Remmington,,13,16,16,45,45,15
