Nation,Sail No,Helm,Crew,Boat Name,R1,R2,R3,R4,Pts,Pos
IRL,8961,Ewen Barry,Charles Dwyer,Low Blo,2,9,1,1,4,1
GBR,8694,Matt Hart,Terry Scutcher,,1,1,3,3,5,2
GBR,8906,Simon Briddon,Harry Briddon,,13,2,5,4,11,3
GBR,8905,Stuart Turnbull,Jason Lunn,,4,10,7,5,16,4
IRL,8511,Brian Goggin,Brendan Dwyer,Pink & Brown,3,7,13,7,17,5
GBR,8408,Alex Barry,Andrew Lane,St Patrick,6,11,2,17,19,6
IRL,8514,Peter Scannell,Pal O'Sullivan,Carbonara,7,5,8,8,20,7
,8362,Matthias Hellstern,Harvey Tucker,,10,16,6,10,26,8
IRL,888*,Colin Barry,Tim O'Connor,Resurrection,5,20,9,13,27,9
GBR,8497,Dennis Cartwright,Arthur George,,14,8,16,6,28,10
GBR,8526,Tim Bird,Richard Nurse,,23,24,4,2,29,11
GBR,8955,Ben Illfe,Simon Lake,,12,6,14,11,29,12
IRL,8542,Ronan Kenneally,Shane O'Connell,TRJ,8,13,12,9,29,13
IRL,8429,Michael Ennis,Fenton Parsons,,16,12,10,12,34,14
,8123,Brian Hassett,Keith McKeown,Patches,18,4,17,20,39,15
,8679,Conor Byrne,Darrach Dinneen,Top Gun,11,17,15,14,40,16
GBR,8907,Jim Berry,David Barnes,,19,3,22,19,41,17
GBR,8925,Martin Wedge,Scott Allen,,15,15,11,15,41,18
,8380,Charles McCarthy,Joe Bruen,Norflok & Chance,9,19,18,18,45,19
IRL,8269,James O'Brien,William O'Brien,Cold Toes,20,14,21,22,55,20
IRL,8552,Michael O'Brien,John O'Gorman,,17,18,20,21,55,21
GBR,7852,Brian Jones,Gary Frost,Ethel,23,24,19,16,58,22
IRL,8072,Chris Marwood,Stan Reynolds,,24,24,24,23,71,23
