,Boot,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Platzierungen 5,Punkte,Pl.
GER,8966,Stefan Böhm,Gerald Roos,SCV,1,1,1,4,1,,1
GER,8901,Julian Stückl,Wolfgang Stückl,DTYC,3,2,3,2,DNC,,2
GER,8720,Lennart Tasche,Frederik Tasche,WSVG09,6,5,2,2,2,,3
GER,8972,Ronald Roos,Kirsten Roos,SVWu,5,3,5,3,4,,4
GER,8693,Michael Daisenberger,Bastian Henning,DTYC,2,DNF,DNC,1,3,,5
GER,8990,Frieder Achterberg,Arne Lanatowitz,DTYC,4,4,4,7,5,,6
GER,8418,Hartmut Weiß,Volker Weiß,SCLW,7,7,6,6,6,,7
GER,869*,Florian Lautenschläger,Benedikt Schulte,DTYC,8,6,7,8,7,,8
GER,8458,Helmut Madeheim,Jens Krause,PBYC,9,DNF,DNC,DNC,DNC,,9
GER,8712,Siegfried Labenz,Christian Labenz,SVWu,10,DNC,DNC,DNC,DNC,,10
