coureurs / équipage,,,,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Pts CNI,place
GBR,8882,Pinnell Ian,Hunt Steve,GRANDE BRETAGNE,1,3,1,1,2,5,8,1
FRA,,Boite Philippe,Toupet Fabrice,C V DE MEAUX,4,1,3,2,1,13,11,2
FRA,,Gubri Serge,Di Pede Thibault,Jeunesse et Marine,3,7,2,5,5,3,18,3
FRA,,Silvestre Christian,Vallaud Christian,CVSQ,12,5,5,3,3,8,24,4
FRA,,Blanchard Philippe,Blanchard Carole,A C D'ALSACE LORRAIN,8,2,12,21,6,1,29,5
FRA,,Muh Pierre,Keraudrenv Dominique,C.N. VIRY CHATILLON,2,13,13,9,4,2,30,6
FRA,,Dupont Jean Baptiste,Lecorgne Pierre,CV PARIS,10,10,18,4,10,4,38,7
GER,,Von Mertens Alexander,Lasnier Benjamin,ALLEMAGNE,O+D,12,6,7,7,6,38,8
GBR,,Lake Simon,Iliffe Ben,GRANDE BRETAGNE,9,8,7,6,12,9,39,9
FRA,,Lucienne Philippe,Lucienne Vivien,S.R.C Sud-Oise,DNS,4,4,11,11,10,40,10
FRA,,Doerenbecher Francis,Doerenbecher Aubin,C N DE SCIEZ,5,9,11,23,8,7,40,11
FRA,,Blondy Bernard,Chabaud Roger,C V VALENCIENNES,7,6,15,13,15,19,56,12
FRA,,Noclain Philippe,Noclain Jean Pierre,C V VALENCIENNES,16,11,17,8,9,12,56,13
FRA,,Jeanne Muriel,Carvallo Gilles,C N HAUTE SEINE,6,16,16,20,13,20,71,14
FRA,,Martenot Christian,Place,C V SEINE-PORT,13,20,20,17,14,11,75,15
FRA,,Barbier Philippe,Barbier Guillaume,C N C ST OUEN,11,19,21,14,17,14,75,16
FRA,,Riot Marc,Hertel Yoann,C.N. VIRY CHATILLON,20,14,8,16,23,18,76,17
FRA,,Boiry Michel,Hoffmann Thomas,CV PARIS,17,15,10,22,19,16,77,18
FRA,,Lasnier Gilles,Lasnier Laurent,Y C Sablettes,DNS,21,9,15,16,17,78,19
GBR,,Berry Jim,Barnes David,GRANDE BRETAGNE,15,17,19,18,21,DNF,90,20
FRA,,Verriez Bruno,Noclain Jean Marc,C V VALENCIENNES,19,23,22,10,18,22,91,21
GER,8450,Feuerhake Jurgen,Nehreuberg Anne,ALLEMAGNE,DNS,18,14,24,20,15,91,22
FRA,,Coulmin Pierre-Jerome,Peter Vincent,WIND 14,14,22,23,12,24,21,92,23
FRA,,Condroyer Xavier,Champenois Matthieu,CV PARIS,18,24,24,19,22,23,106,24
