Nation,Sail #,Skipper,Crew,,Race1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Total,Net (1 drop),place
,8645,Marg Hurley,Christian Dechamplain,,1,2,1,3*,3,1,1,2,14,11,1
,7605,Renka Gesing,Adam Gesing,,2,3,2,1,1,4*,2,4,19,15,2
,7346,Debbie Ashby,Dave Adams,,5*,4,3,2,2,3,3,1,23,18,3
,8194,Shona Weldon,Michael Wonnacott,,3,1,4,9 DNF*,4,2,4,3,30,21,4
,8467,Andrew Gesing,Ian Marentette,,4,5,7*,6,5,7,7,5,46,39,5
,8888,Chris Porracio,Mike Armstrong,,6,9 DNF*,6,4,6,5,6,7,49,40,6
,8288,Angus Ross,Tim Willett,,8*,6,5,5,7,6,5,6,48,40,7
,8060,Paul Bryan,Ken Davy,,7,7,8*,7,8,8,8,8,61,53,8
