Nation,Boat No,Helm,Crew,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Points,Place
POL,9119,Mateusz Jura,Bartosz Chroł,Polskie Stowarzyszenie Klasy 505,1,5*,3,5,1,1,1,12,1
POL,9170,Karol Milewski,Bartosz Milewski,,2,3,4,1,2,3,5*,15,2
POL,9233,Tomasz Brzozowski,Paweł Choroba,KŻ Horn Kraków,8,1,6,3,3,2,10*,23,3
POL,8802,Dominik Ostrowski,Stefan Romanik,SWOS Warszawa/K.S Spójnia – Warszawa,UFD*,2,2,6,7,5,2,24,4
POL,8875,Dariusz Konopczak,Paweł Henszke,Centrum Żeglarskie Szczecin,7,9,DSQ*,2,5,4,3,30,5
POL,8145,Paweł Kluczyński,Władysław Kondej,AZS Poznań,4,4,1,4,10,DNF*,9,32,6
POL,8493,Mieczysław Szwed,Tomasz Idzikowski,Centrum Żeglarskie Szczecin,3,6,UFD*,9,4,7,4,33,7
POL,8665,Michał Kołodziej,Michał Prończuk,,6,8,7,7,9*,6,6,40,8
POL,8906,Łukasz Maksymowicz,Adam Najmowicz,Yacht Klub Stal Gdynia,9*,7,5,8,6,9,7,42,9
POL,8483,Mariusz Michalski,Piotr Duma,YK STAL GDYNIA,5,10*,8,10,8,8,8,47,10
