Sail Number,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,Total,Netto,Nr
GBR 9215,Roger Gilbert,Ben Mcgrane,Netley Sailing Club,2,(76),DSQ 3,4,2,3,6,(7),4,1,108,25,1
GBR 9221,Ian Pinnell,David Shelton,Hisc,(38),3,9,2,4,(18),3,3,3,2,85,29,2
USA 9153,Howard Hamlin,Jeff Nelson,ABYC / NHYC,(23),9,(29),7,1,2,4,2,2,5,84,32,3
GER 9152,Wolfgang Hunger,Holger Jess,WUW,(14),7,2,11,3,(26),1,5,1,7,77,37,4
GER 9185,Stefan Böhm,Gerald Roos,SCV,3,6,1,3,8,(23),9,6,7,(13),79,43,5
GER 9198,Julian Stückl,Johannes Tellen,DTYC,16,1,(38),9,(76) DNS,4,2,4,9,6,165,51,6
GBR 9177,Thomas Gillard,Geoff Edwards,SVSC,1,4,11,6,14,(17),10,13,(20),3,99,62,7
AUS 9134,Michael Quirk,Reeve Dunne,RPEYC,(29),2,(45),10,12,14,DPI 12,1,10,10,145,71,8
FRA 9220,Philippe Boite,Fountaine Mathieu,CVSQ,(39),11,(20),1,15,9,13,11,5,9,133,74,9
GBR 9214,Andy Smith,Stewart Mears,Ncsc,(47),5,(76) DNC,5,17,5,17,16,6,4,198,75,10
DEN 9181,Jørgen Bojsen-Møller,Jacob Bojsen-Møller,Hellerup Sejlklub,(17),12,(26),15,5,6,DPI 7,12,14,11,125,82,11
SUI 9147,Caroline Jacot,Philippe Jacot,CNB,5,17,(41),16,6,1,8,14,(21),21,150,88,12
DEN 9187,Jan Saugmann,Jacob Ernst,Hellerup Sejlklub,18,13,7,14,9,7,(21),(21),11,15,136,94,13
GBR 9180,Mark Upton-Brown,Ian Mitchell,Hayling Island SC/Bosham SC,19,8,6,(23),16,12,14,(20),17,17,152,109,14
GER 9090,Christian Kellner,Martin Schöler,HSC,(45),18,8,8,19,22,(30),17,15,8,190,115,15
GBR 9178,Chris Lewns,Jack Kilburn,Whitstable Yacht Club,8,10,13,13,(36),11,22,22,(30),23,188,122,16
DEN 9055,Fabiola Wonterghem,Michael Wonterghem,Sorø Sejlforening,(37),21,15,19,13,(31),11,19,13,14,193,125,17
GER 9169,Tim Böger,Markus Schöner,HSC,11,26,14,20,11,(40),15,18,12,(27),194,127,18
GER 9133,Frieder Achterberg,Wolfgang Stückl,DTYC,(34),23,5,12,21,(44),23,9,16,28,215,137,19
GER 9040,Norbert Dasenbrook,Sven Meier,SKBUE,(25),14,23,21,10,20,20,15,(28),24,200,147,20
GER 9101,Timon Treichel,Morten Roos,SVWU,(48),(46),40,28,7,13,28,10,8,16,244,150,21
GER 9189,Hendrik Schultz,Ute Oberländer,SCLW,9,19,18,(33),32,(54),19,25,23,12,244,157,22
GER 9182,Alexander Holzapfel,Stefan Worm,PSVK,(41),27,31,18,23,25,18,26,19,(32),260,187,23
GBR 8914,Tim Bird,Adam Kenney,Burton SC,(58),15,17,39,24,(41),16,29,35,26,300,201,24
SWE 8962,Peter Bökmark,Martin Persson,BKSS,6,37,30,(51),39,8,(42),23,26,39,301,208,25
