Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Boat Name,Points Total,Points Netto,Place
,0,Jonathan McKee,Charlie McKee,,,,,,,,,,1
USA,0,Carol Buchan,Carl Buchan,,,,,,,,,,2
USA,7068,Bruce Ayres,Don Ayres,,,,,,,,,,3
