,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,Platz
FRA,9075,Philippe Boite,Erwan Grossmann,CVM,1,2,3,2,1,,1
FRA,8716,Aline Martin,David de Monteil,,9,1,1,3,3,,2
FRA,8870,Christian Silvestre,Aline Martin,CVB,3,7,2,1,2,,3
BEL,8949,E. Defroidmont,Cedric Crets,,2,3,14,12,3,,4
FRA,8429,Jean Charles Zimmowitch,Romaric Zimmowitch,,17,5,5,5,5,,5
FRA,9031,Philippe Lucienne,Vivien Lucienne,SRDC,5,12,6,8,4,,6
FRA,8484,Philippe Blanchard,Bernard Edel,ACAL,4,8,15,6,9,,7
BEL,9064,Didier Trine,Philippe Vandersteen,KYC,8,4,9,7,DNF,,8
BEL,9066,Geert De Pauw,Koen Jourquin,NWVN,7,9,7,14,6,,9
GBR,9125,Roger Deane,Tommy Nurse,,11,6,12,4,15,,10
FRA,8820,Thibault Di Pede,Fabrice Toupet,,12,10,4,13,12,,11
FRA,9068,François de Lisle,Herve Brillaud,CVP,10,11,11,11,10,,12
BEL,8742,Frederik Decocq,Gilles Bernon,SNEH,15,13,8,15,8,,13
BEL,7940,Paul Joskin,Gilbert Joskin,,6,15,16,16,14,,14
FRA,9086,Elisabeth Neidhart,Matthieu Gougeon,,14,17,13,9,16,,15
FRA,8509,Vincent le Morvan,Pierre Bessias,,13,20,DNC,10,13,,16
FRA,8770,Jean-Pierre Noclain,Roger Chabaud,CVV,25,19,10,18,0,,17
BEL,8552,Claude Collette,Xavier Dobbelstein,,19,16,17,17,17,,18
FRA,9067,Dominique Rouanne,Virginie Laurrent,,22,14,18,20,DNF,,19
BEL,8543,Alain Mineur,Fabienne Boucau,,16,23,19,21,18,,20
BEL,8844,Frank Boonen,Ronald Vanthoor,,20,18,21,24,21,,21
BEL,8270,Lionnel Lambert,Th Fabritius,RCNV,21,22,DNC,19,19,,22
GER,8691,Harald König,Katja Frühwald,SHVL,18,DNF,DNC,22,20,,23
BEL,8897,Didier Kariger,Frederic Jacmart,RCNV,DNC,21,20,23,23,,24
FRA,6395,J-C Plateaux,S Rigot,,24,24,DNF,25,22,,25
BEL,8215,P-H Arnould,Alain Mineur,,23,DNF,DNC,DNC,DNC,,26
