Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Crew Club,Points Total,Points Netto,Place
FRA,9075,Philippe Boite,Erwan Grossmann,CVSQ,1,1,1,1,[3],1,SNT,8,5,1
GER,8683,Alexander Holzapfel,Geraud Lafortune,PSK GER,2,[12],2,2,2,2,CV SEINE PORT,22,10,2
FRA,8676,Florence Lebrun,Pierre Gendry,FFVOILE,4,4,3,4,1,[10],SNO NANTES,26,16,3
FRA,,Thibault Di Pède,Fabrice Toupet,CV SEINE PORT,6,6,[13],3,7,5,CV SEINE PORT,40,27,4
FRA,8870,Christian Silvestre,Adrien Lafortune,YCIF,[DNF 22],9,5,6,4,6,CV SEINE PORT,52,30,5
FRA,8909,Francis Doerenbecher,Philippe Wolff,CN DE SCIEZ,5,5,7,[8],8,7,ACAL,40,32,6
SUI,8954,Caroline Jacot,Philippe Jacot,CVN SUI,3,3,15,[OCS 22],11,3,,57,35,7
GER,,Sophie Heyer,Gaël Conversy,JSCV GER,[DNF 22],7,8,10,5,8,YC BEAULIEU,60,38,8
FRA,9068,François de Lisle,Hervé Brillaud,CN FERRET,[DNF 22],15,6,5,13,4,CN FERRET,65,43,9
FRA,9099,Alain Karadjian,Christian Simonnot,CVSQ,8,[16],4,11,14,9,YC TOULON,62,46,10
FRA,8847,Muriel Jeanne Agrapart,Franck Agrapart,C N HAUTE SEINE,7,11,10,7,12,[13],C N HAUTE SEINE,60,47,11
FRA,8032,Riwanon le Roy,Jean-Claude Ancelot,ASNQ,[DNF 22],8,9,12,9,16,SNO NANTES,76,54,12
FRA,8677,Nicolas Michel,Charles de Kergariou,CVAN NANTES,[DNF 22],DPI 22,12,9,10,11,C N HAUTE SEINE,86,54,13
USA,8402,Loïc Bleuez,Philippe Markt,USA,[DNF 22],17,14,13,6,12,YC BEAULIEU,84,62,14
FRA,9084,Jacques Dechauffour,Sabine Dechauffour,SNO NANTES,[DNF 22],14,16,14,15,14,SNO NANTES,95,73,15
FRA,8567,Pierre-Jérôme Coulmin,Vincent Peter,WIND 14,[DNF 22],18,11,15,16,15,WIND 14,97,75,16
FRA,8716,Aline Martin,Chloe Lafortune,CV SEINE PORT,[DNF 22],2,DNF 22,DNF 22,DNF 22,DNF 22,CV SEINE PORT,112,90,17
FRA,8400,Louis Morin,Charles Morin,CVSAE,[DNF 22],DNC 22,17,16,17,DNF 22,CVSAE,116,94,18
FRA,8729,Baptiste Lafortune,Jordane Lafortune,CV SEINE PORT,[DNF 22],13,DNF 22,DNF 22,DNF 22,DNF 22,CV SEINE PORT,123,101,19
FRA,8869,Emmanuel Boyer,Etienne Boyer,CVBCM,[DNF 22],19,DNF 22,DNF 22,DNF 22,DNF 22,CVBCM,129,107,20
FRA,,Claude Lafortune,Nicolas Auberger,CV SEINE PORT,[DNF 22],DNC 22,DNF 22,DNF 22,DNF 22,DNF 22,YC GRENOBLE CHARA.,132,110,DNA
