Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Boat Name,Points Total,Points Netto,Place
FRA,8870,Christian Silvestre,Nicolas Auberger,YCIF/YC GRENOBLE CHARA.,[7],2,1,[OCS 21],1,3,4,1,3,,43,15,1
FRA,9076,Xavier Broise,Jordane Lafortune,SNPH/CV SEINE PORT,5,1,2,2,[12],1,2,4,[7],,36,17,2
FRA,8716,Aline Martin,Fabrice Toupet,CV SEINE PORT/CV SEINE PORT,1,[6],5,3,[OCS 21],2,3,2,2,,45,18,3
FRA,9075,Philippe Boite,Pierre-Jean Gallo,CVSQ/SRH,[8],[8],4,1,2,4,1,6,1,,35,19,4
FRA,8990,Serge Gubri,Thibault Di Pède,CV SEINE PORT/CV SEINE PORT,2,[7],3,4,6,5,6,[7],5,,45,31,5
FRA,9086,Elisabeth Neidhart,Matthieu Gougeon,CVML/CVML,[13],9,[14],5,8,8,5,3,6,,71,44,6
BEL,9066,Geert de Pauw,Jourquin Koen,,3,3,9,[OCS 21],3,6,[DSQ 21],13,11,,90,48,7
FRA,8948,Nicolas Guillou,Henry Chevet,SNPH/SNPH,10,10,6,8,[OCS 21],9,7,[10],4,,85,54,8
FRA,8980,Michel Boiry,Antoine Ratouis,CV PARIS/B N DE SCIEZ,11,[12],[DSQ 21],9,5,7,11,5,9,,90,57,9
BEL,9064,Philippe Vandersteen,Yan Mahieu,SNEH BEL/,[12],4,[12],11,4,10,9,12,8,,82,58,10
FRA,8705,Luc Vocanson,Thierry Muniglia,CVML/CVML,6,5,[13],13,13,11,8,[16],10,,95,66,11
FRA,,Olivier Thiberge,Hervé Guezennec,CV PARIS/NAUTISME PAYS BLANC,9,[14],10,12,11,12,10,8,[DNF 21],,107,72,12
FRA,8342,Bertrand Chazelle,Nicolas Legay,CN TOUQUET/CVSQ,[15],13,8,10,10,14,[DSQ 21],9,12,,112,76,13
FRA,9031,Philippe Lucienne,Vivien Lucienne,C N C ST OUEN/C N C ST OUEN,[DNC 21],[DNC 21],7,7,7,13,14,17,DNF 21,,128,86,14
FRA,,Bernard Blondy,Roger Chabaud,CV VALENCIENNES/CV VALENCIENNES,14,[15],11,14,14,[17],13,15,14,,127,95,15
FRA,8699,Jean-Philippe Ducros,Stanislas Rault,CVML/CVML,[DNC 21],[17],16,15,9,16,16,14,13,,137,99,16
FRA,,Jean-Paul Lozouet,Bertrand Lapeyre,CV PARIS/SNPH,4,11,17,6,[DNF 21],[DNF 21],DNF 21,DNF 21,DNF 21,,143,101,17
FRA,8326,David de Monteil,Aymeric Essertel,LA ROCHELLE NAUTIQUE/SR DE LA TURBALLE,[DNS 21],16,15,16,16,[18],15,11,15,,143,104,18
FRA,8880,Jose Mendes,Emmanuel Mouclier,CVML/CVML,[DNC 21],[DNC 21],DNC 21,DNC 21,15,15,12,DNF 21,DNF 21,,168,126,19
FRA,8429,Jean Charles Zimmowitch,Romaric Zimmowitch,VGA SAINT MAUR VOILE/VGA SAINT MAUR VOILE,16,18,18,17,[DNF 21],[DNF 21],DNF 21,DNF 21,DNF 21,,174,132,20
