Reg,atta Rank,Competitor,Name,R1,R2,R3,R4,R5,R6,R7,R8,R9,Σ,
GER,8992,Lehmann,Oehme,2,4,14*,1,3,15*,2,6,3,21,1
GER,9035,Boehm,Roos,1,1,8*,7,5,2,4,3,DNF*,23,2
GER,9071,Hunger ,Jess,3,6,7,2,2,14*,1,8,11*,29,3
USA,9072,Mike Holt,Carl Smit,5,9,2,3,7,5,14*,19*,1,32,4
AUS,8946,Higgins,Marsh,12*,16*,1,8,10,7,8,1,2,37,5
GER,9112,Bogacki,Dehne,8,15*,4,11,1,6,19*,7,6,43,6
GBR,9094,Ian Pinnell,Ian Mitchell,10,5,9,5,28*,12*,5,2,12,48,7
DEN,8964,Jan Saugmann,Martin Görge,17*,8,5,4,9,10,3,9,20*,48,8
USA,9091,Conrads,Haines,4,7,12*,29*,11,3,12,4,8,49,9
USA,8913,Moore,Ewenson,14,21*,11,16*,8,4,6,5,4,52,10
DEN,9062,Jørgen Bojsen-Møller,Jacob Bojsen-Møller,22*,2,13,12,6,1,23*,10,9,53,11
GER,8875,Tobias Schadewaldt,Johannes Tellen,6,17,3,RDG,14,RET*,9,34*,22,79,12
USA,9080,Hamlin,Zinn,7,24*,10,10,15,20*,16,17,5,80,13
USA,9106,Mike Martin,Jeff Nelson,13,10,17,24*,4,8,30*,21,10,83,14
USA,8808,Augie Diaz,Fritz Lanzinger,11,11,27*,9,16,28*,7,15,15,84,15
USA,9007,Barry,Barrows,9,DNF*,21,6,17,13,29*,11,18,95,16
USA,8830,Mark Zagol,Andrew Buttner,27*,33*,18,14,13,16,17,13,24,115,17
AUS,9036,Mike Quirk,Daryl Roos,19,19,34*,13,12,24,15,14,41*,116,18
GBR,9057,Lewns,Parsons,24,12,24,36*,29*,9,18,18,21,126,19
USA,8681,Cox,Park,20,30*,26*,15,20,23,13,22,16,129,20
AUS,9061,Kevin Cameron,Bob Franks,35*,27,6,22,19,RDG,28*,25,14,134,21
AUS,9105,Vivian Marcas,Rob Woelfel,18,3,16,33,21,RET*,10,35,41*,136,22
AUS,8853,Carter Jackson,David Shelton,16,14,15,17,26,DSQ*,20,30,DSQ*,138,23
GBR,9085,Terry Scutcher,Daniel Hart,21,28,30*,23,24,11,22,16,38*,145,24
GBR,9104,Alex Barry,Adam Kenney,33*,22,25,27,27,18,25,12,29*,156,25
