Nation,Sail No,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,R7,R8,R9,Pts,Pos
USA,8776,Meller,Falsone,,1,1,30 DNF*,3,6*,1,3,1,1,11,1
,8698,Fowler,Fowler,,12*,2,2,1,1,3,1,6*,3,13,2
,8264,Jeff Boyd,Schell,,8*,5,1,2,4,2,6*,4,2,20,3
,8728,Nelson,Schelter,,5,4,4,10*,9,24*,2,3,5,32,4
,8012,Amthor,Amthor,,18*,6,5,4,5,5,9*,9,6,40,5
,8830,Herlihy,Buttner,,14*,3,3,12,15*,9,5,5,7,44,6
,8643,Barney Harris,Saunders,,6,12,6,20*,14,18*,4,2,4,48,7
,8696,Ashby,Adams,,7,13*,11,11,2,8,16*,11,12,62,8
,8410,Vines,Chris Gillies,,3,10,14*,8,7,7,14,13,15*,62,9
,8790,John Wyles,Beardsley,,2,22*,30 DNF*,7,13,4,15,10,14,65,10
,7876,John Hauser,Marini,,11,18*,17,5,3,13,19*,8,13,70,11
,8194,Kivney,Kitney,,20*,7,7,6,18,15,8,14,30 DNS*,75,12
,7092,Tihanskey,Dustin Romey,,10,20*,13,9,8,16,17*,12,9,77,13
,8624,Alexander,Stetson,,17,9,12,24*,11,6,13,16,20*,84,14
,8260,Loveshin-Moss,Loveshin,,30 DNC*,14,10,15,21,30 DNF*,12,7,8,87,15
,8778,Darryl Dietz,Hurwitch,,9,11,19*,13,22*,12,7,19,18,89,16
,7605,Renka Gesing,Adam Gesing,,16,8,9,27*,28*,20,11,15,11,90,17
,8600,Kiaser,Badtke,,4,15,18,19*,10,17,18,20*,10,92,18
,8013,Hamilton,Gifford,,23*,16,8,26*,12,10,10,18,19,93,19
,6910,Hobbs,Ron Hughes,,15,17,15,18,26*,21,22*,17,21,124,20
,8535,Hurley,Penny,,19,19,20,22,20,14,25*,30 DNF*,16,130,21
,8311,Bradley,Barnes,,30 DNS*,23,23,25*,16,11,21,22,17,133,22
,8767,Torrie,Yates,,13,30 DNF*,16,16,17,22,20,30 DNF*,30 DNS,134,23
,7798,Wilson,Kielty,,24,25*,24,14,19,28*,24,21,22,148,24
,7068,Bob Patterson,Bergquist,,21,24,21,17,25,19,23,30 DNS*,30 DNS*,150,25
,8351,Watson,Watson,,22,21,22,28,24,23,30 DNF*,30 DNS*,30 DNS,170,26
,8660,Davidge,Deschamplain,,30 DNC*,26,25,21,23,26,26,23,30 DNS*,170,27
CAN,7857,Shona Weldon,Michael Wonnacott,,25,27,30 DNF*,23,29,27,30 DNF*,24,30 DNS,185,28
,8587,Ware,Ware,,30 DNF*,30 DNF*,30 DNF,29,27,25,30 DNF,30 DNS,30 DNS,201,29
