Nation,Boat No,Helm,Crew,Boat Name,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Place
USA,8919,Douglas McKeige,,505,17/DNF*,1,2,1,5,4/RDG,13,1
USA,8830,Andrew Buttner,,Kokatat,1,[7],1,3,7,2/RDG,14,2
USA,7346,Craig Thompson,,USA 7346,2,4,6,2,1,[13],15,3
USA,9041,Henry Amthor,,Benchmark,3,5,4,5,[6],3,20,4
USA,8930,Ted Ferrarone,,USA 8930,4,3,3,6,[11],9,25,5
USA,8083,Michael Renda,,Jane's Addiction,9,2,[11],7,3,7,28,6
USA,8194,Thomas Kivney,,Katiebear,5,6,5,4,[13],8,28,7
USA,7773,Duane Delfosse,,Salvage,6,8,[10],10,4,5,33,8
USA,8013,Jonathan Wenderoth,,AMF,[10],10,9,8,8,1,36,9
USA,8821,Katherine Long,,Bubbles,11,[13],7,9,9,4,40,10
USA,8850,Douglas Watson,,Dr. Crash,8,11,8,11,[12],11,49,11
USA,8441,Katrin Deinhardt,,8441,13,17/DNS*,17/DNC,17/DNC,2,2,51,12
USA,8012,Whit Duncan,,505,7,9,12,13,[14],14,55,13
USA,8939,John Wyles,,Silver Seahorse,[14],12,13,12,10,10,57,14
USA,8791,Richard Moakes,,505,12,14,14,14,[15],12,66,15
USA,7685,Bill Platt,,Boat,17/DNC*,17/DNC,15,17/DNS,17/DNC,17/DNC,83,16
