Nation,Boat No,Helm,Crew,Boat Name,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total,Place
USA,8815,Dalton Bergan,,Purple,1,[2],2,1,1,2,7,1
USA,8792,Carol Buchan,,Yellow Jacket,2,1,1,2,[5],1,7,2
USA,8017,Derek Campbell,,Fighting Lady Yellow,3,4,3,[10],7,3,20,3
USA,8824,Lindsay Bergan,,Black Betty,4,5,4,4,[6],4,21,4
USA,8823,Mats Elf,,Good Times,[7],3,7,5,2,7,24,5
CAN,8866,Cynthia Des Brisay,,Non Sequitor,6,[10],6,3,4,6,25,6
USA,8868,Piper Dunlap,,Dooflicker,[9],6,5,6,8,5,30,7
USA,8616,Lee Laney,,Mancation,5,[8],8,7,3,8,31,8
USA,8435,Erik Coburn,,Deadwood,[10],7,9,8,9,9,42,9
USA,7206,Anne Fitzpatrick,,Watery tart,8,9,[10],9,10,10,46,10
