Nation,Boat,Helm,Crew,Club,Race1,Race2,Race3,Race4,Race5,Race6,Race7,Pts,Place
USA,8808,Angie Daiz,Luke Lawrence,Coral Reef Yacht Club,1,1,1,1,1,1,(2),6,1
USA,8919,Parker Shinn,Doug McKeige,AYC,5,2,4,3,3,(8),1,18,2
USA,8830,Craig Thompson,Andrew Buttner,,3,3,2,(8),5,2,4,19,3
USA,8715,Ethan Bixby,Chris Brady,SPYC,2,4,3,2,(8),4,5,20,4
CAN,8264,Jeff Boyd,Martin ten Hove,KYC,4,(9),7,6,4,6,8,35,5
USA,8722,Macy Nelson,Parry Barklay,WRSC,7,6,5,(15),14,3,3,38,6
USA,8930,Ted Ferrarone,Simon Gerson,Larchmont YC,8,10,6,11,2,7,(22),44,7
USA,9041,Dustin Romey,Krysia Pohl,SSA,10,5,10,5,10,5,(19),45,8
USA,8194,Tom Kivney,Gordon Russell,Hingham YC,6,(11),11,9,9,9,6,50,9
USA,9003,Jesse Falsone,,SSA,9,7,9,(18),6,13,7,51,10
USA,8850,Doug Watson,Gabriel Watson,WRSC,11,13,8,4,11,(17),11,58,11
USA,8083,Matt Barry,Michael Renda,YCYC,13,8,12,10,19,(20),10,72,12
USA,8012,Whit Duncan,,Sail Newport,12,14,15,7,15,(18),16,79,13
USA,8952,Charles Smith,Jay Smith,Carolina YC,19,(22),22,13,7,12,13,86,14
USA,8439,Michael Komar,Kyle Carney,Newport,15,12,(22),14,17,19,9,86,15
USA,7773,Duane Delfosse,Peter Scannell,LSYC,14,16,16,12,(22),14,15,87,16
USA,7879,Zachary Marks,,SPYC,(18),15,17,16,18,10,12,88,17
USA,7606,Brendan Connell,Ian McKeige,WRSC,20,17,13,(21),13,11,18,92,18
USA,8441,Katrin Deinhardt,Olav Schluter,AYC,17,18,(22),17,16,16,14,98,19
USA,8939,John Wyles,,AYC,16,19,14,19,20,15,(22),103,20
USA,8766,Bryan Richardson,,SSA,21,(22),22,20,12,21,17,113,21
