Nation,Sail,Skipper,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Total,Pos
USA,9080,Howard Hamlin,,,1,[12/DNF],1,4,1,7,1
USA,8808,Augie Diaz,,,3,2,3,[7],3,11,2
CAN,8970,Bob Tennant,,,4,3,[8],1,4,12,3
USA,8878,Edward Conrads,,,[7],1,5,6,2,14,4
USA,9082,Jeff Miller,,,6,5,2,[8],5,18T,5
USA,7611,John Turney,,,5,[6],4,3,6,18T,6
USA,7156,Aaron Ross,,,2,4,6,[12/DNF],12/DNS,24,7
USA,8937,Tim Murphy,,,[12/DNC],12/DNC,9,2,7,30,8
USA,6984,Antoine Laussu,,,[12/DNC],12/DNC,10,5,12/DNS,39,9
USA,8841,John Condon,,,[12/DNC],12/DNC,7,12/DNF,12/DNF,43,10
USA,7069,Christopher O'Leary,,,8,[12/DNF],12/DNC,12/DNC,12/DNC,44,11
