Nat,SailNo,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Nett,Place
AUS,8801,Peter Nicholas,Luke Payne,GKSS ROYAL FRE,6,[9],1,1,5,13,1
GER,9251,Jan-Philipp Hofmann,Felix Björn Brockerhoff,DÜSSELDORF YACHT CLUB,2,2,[6],4,6,14,2
USA,9262,Howard Hamlin,Andrew Zinn,NHYC,[14],7,4,3,1,15,3
USA,9106,Mike Martin,Adam Lowry,ST FRANCIS YACHT CLUB,[48],11,7,5,3,26,4
FRA,9270,Philippe Boite,Marin Carnot,CVSQ,7,[13],8,7,4,26,5
GBR,9246,Michael Sims,Carl Gibbon,BURTON SC,5,[19],9,8,9,31,6
USA,9266,Mike Holt,Rob Woelfel,SANTA CRUZ YC,27,[36],2,2,2,33,7
GBR,9215,Roger Gilbert,Ian Mitchell,FRENSHAM POND/HAYLING ISLAND,19,[34],5,6,7,37,8
GBR,9253,Nathan Batchelor,Eric Anderson,TYNEMOUTH SC/ST. FYC,[18],1,15,11,12,39,9
GBR,8935,David Ellis,Jim Hunt,LYMINGTON TOWN/SOUTH STAFFS SC,4,4,23,22,[26],53,10
AUS,9191,Malcolm Higgins,Angus Higgins,BSYC,[41],16,12,12,15,55,11
GER,9198,Michael Daisenberger,Johannes Tellen,DTYC,20,[48],13,9,14,56,12
GER,9070,Stefan Köchlin,Andréas Achterberg,SVS,[50],23,10,16,10,59,13
GBR,9238,Ian Pinnell,Charles Dwyer,HISC/RTYC,[61],44,3,10,8,65,14
SUI,9267,Caroline Jacot,Philippe Jacot,CNB,3,14,26,[32],22,65,15
GER,9260,Tim Böger,Finn Böger,HSC,12,[47],25,15,13,65,16
AUS,9269,Mark Stowell,Conall Hansford,ROYAL FRESHWATER BAY YACHT CLUB,22,[57],16,13,18,69,17
GER,9185,Stefan Böhm,Gerald Roos,SCV,32,[74],11,19,11,73,18
SWE,9217,Carl-Fredrik Fock,Johan Barne,GKSS,8,6,28,[39],33,75,19
GER,9127,Frederik Schaal,Felix Diesch,SEGEL- UND MOTORBOOT CLUB ÜBERLINGEN,31,3,19,[96 DSQ],23,76,20
SUI,9096,Cédric Bart,René Betschen,CNB,[37],8,20,25,28,81,21
SWE,8962,Peter Bökmark,Martin Persson,BKSS,1,12,[59],35,39,87,22
USA,9247,Mike Punnett,Don Smith,PC YC,23,30,18,17,[96 DNF],88,23
GER,9268,Henrik Schade,Sebastian Wiemer,WASSERSPORTVEREIN WULSDORF E.V.,35,[77],17,20,17,89,24
SWE,9143,Thomas K. Lundberg,Johan Strömdahl,KSSS,9,10,[45],41,31,91,25
SWE,8926,Ebbe Rosén,Olle Wenrup,MKS,25,20,[30],29,20,94,26
SWE,9181,Malin Broberg,Johan Röök,BKSS,11,22,35,30,[37],98,27
SWE,8859,Tomas Berg,Johan Calvert,BKSS,16,[43],33,24,27,100,28
