Nat,SailNo,HelmName,CrewName,Club,R1,R2,R3,R4,R5,Total,Nett,Rank
GER,9251,Jan-Philipp Hofmann,Felix Björn Brockerhoff,,1,1,1,1,[2],6,4,1st
AUS,9191,Malcolm Higgins,Angus Higgins,,3,[4],3,4,1,15,11,2nd
USA,9266,Mike Holt,Rob Woelfel,,6,[11],2,3,4,26,15,3rd
USA,9262,Howard Hamlin,Andrew Zinn,,4,6,6,[17],6,39,22,4th
GBR,9253,Nathan Batchelor,Eric Anderson,,[12],2,8,6,9,37,25,5th
GBR,8935,David Ellis,Jim Hunt,,2,5,[20],14,7,48,28,6th
FRA,9147,Hervé de Kergariou,Dechauffour,,20,[30],4,2,3,59,29,7th
AUS,8801,Peter Nicholas,Luke Payne,,[27],14,7,5,8,61,34,8th
GER,9260,Tim Böger,Finn Böger,,5,[25],10,15,12,67,42,9th
GER,9127,Frederik Schaal,Felix Diesch,,[17],15,15,8,5,60,43,10th
GBR,9238,Ian Pinnell,Charlos Dwyer,,[29],3,9,20,13,74,45,11th
GBR,9215,Roger Gilbert,Ian Mitchell,,[30],12,11,10,15,78,48,12th
SWE,8859,Tomas Berg,Johan Calvert,,7,24,14,11,[32],88,56,13th
DEN,9244,Jørgen Bojsen-Møller,Jacob Bojsen-Møller,,25,7,5,21,[26],84,58,14th
DEN,9055,Fabiola van Wonterghem,Michael van Wonterghem,,22,9,18,9,[23],81,58,15th
SWE,9217,Carl-Fredrik Fock,Johan Barne,,10,17,23,[32],11,93,61,16th
USA,9200,AJ Conrads,Edward Conrads,,21,8,21,[31],14,95,64,17th
USA,9179,Pierre Jeangirard,Paul Pihl,,11,13,[33],22,18,97,64,18th
USA,9106,Mike Martin,Adam Lowry,,[35],29,19,7,10,100,65,19th
GER,9258,Alexander Holzapfel,Arne Wittemer,,8,21,[24],16,20,89,65,20th
SWE,9002,Per Wester,Lars Wester,,13,16,27,[38],16,110,72,21st
USA,9247,Mike Punnett,Bruce Edwards,,23,[41],17,12,29,122,81,22nd
USA,9252,Douglas Hagan,Paul von Grey,,18,37,12,19,[90 DNF],176,86,23rd
SWE,8962,Peter Bökmark,Martin Persson,,9,[47],16,27,39,138,91,24th
RSA,91*,Peter Funke,Thomas Funke,,28,31,13,23,[47],142,95,25th
SWE,9181,Malin Broberg,Johan Röök,,16,34,22,[36],28,136,100,26th
SWE,9143,Thomas K. Lundberg,Johan Strömdahl,,19,20,36,26,[38],139,101,27th
AUS,9269,Mark Stowell,Conall Hansford,,38,28,26,[39],17,148,109,28th
SUI,9267,Caroline Jacot,Philippe Jacot,,26,27,[61],40,19,173,112,29th
SUI,9096,Cédric Bart,René Betschen,,33,[36],32,29,21,151,115,30th
AUS,9263,Michael Quirk,Cameron McDonald,,39,19,[45],37,24,164,119,31st
POL,9140,Dominik Ostrowski,Maciej Goździk,,37,32,39,18,[49],175,126,32nd
FIN,9069,Rosemarie Hartman,Tuomas Laurila,,[55],42,29,13,43,182,127,33rd
FIN,8678,Tatu Miettinen,Ville Tarvo,,32,[59],46,24,25,186,127,34th
GER,9185,Stefan Böhm,Gerald Roos,,[47],23,38,25,44,177,130,35th
SWE,8923,Lars Hultgren,Axel Hultgren,,24,[44],30,35,42,175,131,36th
GER,9268,Henrik Schade,Sebastian Wiemer,,[50],18,35,46,46,195,145,37th
GBR,9246,Michael Sims,Carl Gibbon,,[58],33,28,47,40,206,148,38th
GER,9234,Nørbert Dasenbrook,Sven Meier,,[59],50,31,34,35,209,150,39th
SWE,9107,Fredrik Hansson,Sven Flood,,46,40,25,[50],41,202,152,40th
SWE,9029,Mikael Olesen,Ulf Camitz,,54,22,50,[55],27,208,153,41st
AUS,9225,Earle Alexander,Hermann Wollenbecker,,43,38,42,[57],37,217,160,42nd
SUI,9060,Catherine Houriet,Giles Donzé,,[51],48,37,48,31,215,164,43rd
SWE,9092,Tom Hastenpflug,Knut Hastenpflug,,[63],49,34,33,48,227,164,44th
GER,9198,Michael Daisenberger,Johannes Tellen,,14,10,53,[90 DNF],90 DNS,257,167,45th
GER,9197,Jens Biederer,Angela Stenger,,[69],43,59,44,22,237,168,46th
AUS,8781,Chris Gregg,Ian Gregg,,34,46,[71],59,33,243,172,47th
POL,9135,Dariusz Konopczak,Paweł Henszke,,31,[60],57,41,52,241,181,48th
GBR,9261,Martin Wedge,Graham Elliot,,[65],45,60,28,55,253,188,49th
SWE,8586,Galen Mack,Carl Janmark,,60,[64],48,49,34,255,191,50th
GER,9000,Julia Pösch,Thorsten Pösch,,44,54,41,[60],53,252,192,51st
SWE,9222,Tomas Franzén,Lars Lindgren,,[53],39,52,52,51,247,194,52nd
SWE,8974,Thomas Widstrand,Rolf Mattsson,,57,35,58,[66],45,261,195,53rd
SWE,8807,Didrik Dahlström,Joel Jelf,,[76],61,62,43,30,272,196,54th
BEL,9121,Paul Gorremans,Marie-Pierre Hayette,,45,56,40,[73],59,273,200,55th
SWE,9187,Matt Hodgson,Francois Etienne,,42,58,49,53,[66],268,202,56th
SWE,9171,Martin Fridh,Mats Dahlander,,52,51,47,54,[57],261,204,57th
SWE,9038,Jakob Lindvall,Karl Byrenius,,61,[68],55,30,61,275,207,58th
FIN,9043,Hannu Pöyry,Matti Dillemuth,,48,53,[77],45,64,287,210,59th
SWE,9259,Mikael Gustavsson,Tore Reinhold,,36,55,[67],61,63,282,215,60th
GER,9231,Stefan Giesler,Frank Böhm,,15,26,[90 DNS],90 DNS,90 DNS,311,221,61st
SWE,9013,Anders Nilsson,Jonas Palmkvist,,[81],72,44,42,65,304,223,62nd
RSA,8725,Drew Scott,Warwick Ham,,62,52,56,[64],62,296,232,63rd
FIN,8912,Raimo Raita,Juha Nurmela,,[73],63,65,51,54,306,233,64th
DEN,8827,Torben Pihl Andersen,Klaus Søndergaard,,49,62,[75],67,58,311,236,65th
FIN,9212,Thomas Held,Timo Vennonen,,67,[77],51,63,60,318,241,66th
SWE,8926,Ebbe Rosén,Olle Wenrup,,40,70,43,[90 DNF],90 DNS,333,243,67th
GER,9030,Andréas Jungclaus,Katharina Menge,,[70],65,54,56,69,314,244,68th
POL,8747,Anna Jabłońska,Andrzej Zdrojek,,77,[79],63,58,56,333,254,69th
AUS,9071,Lindsay Gilbert,Richard Hyde,,64,57,[76],62,72,331,255,70th
USA,9210,Jimmy Franzone,Bjorn Antell,,75,69,[79],77,36,336,257,71st
FRA,9086,Antoine Victor,Pierre Victor,,68,[81],69,71,50,339,258,72nd
POL,8909,Michał Kępski,Maksymilian Zaniewski,,41,75,73,72,[76],337,261,73rd
GER,8750,Mirco Gantenberg,Jacob Nierwarra,,56,67,[78],68,75,344,266,74th
DEN,8828,Sylvester Holm,Agnete Schlichtkrull,,66,74,[80],65,70,355,275,75th
GER,7848,Axel Dierich,Tobias Borchert,,[79],71,64,74,74,362,283,76th
GER,8932,Christian Henge,Katja Henge,,74,73,68,[75],68,358,283,77th
FIN,7922,Olle Martonen,Mikael Nylund,,72,[78],74,70,71,365,287,78th
GER,9123,Martin Bernauer,Enno Wilts,,[90 DNS],76,70,69,73,378,288,79th
FIN,8741,Taru Karttunen,Mikael Ervamaa,,[80],80,66,76,67,369,289,80th
CAN,8763,Brian Trainor,Brendan Trainor,,71,66,[90 DNF],90 DNS,90 DNS,407,317,81st
GER,8806,Anna Hauschild,Anja Stengel,,78,[90 DNS],72,90 DNS,90 DNS,420,330,82nd
GER,8975,Maike Roos,Julia Achterberg,,[90 DNS],90 DNS,90 DNS,90 DNS,90 DNS,450,360,83rd
GER,9070,Stefan Köchlin,Andréas Achterberg,,[90 DNS],90 DNS,90 DNS,90 DNS,90 DNS,450,360,83rd
BEL,9163,Pierre Gorremans,Jean-Emanuell,,[90 DNS],90 DNS,90 DNS,90 DNS,90 DNS,450,360,83rd
FRA,9150,Valentin Dechauffour,Pierre Gendry,,[90 DNS],90 DNS,90 DNS,90 DNS,90 DNS,450,360,83rd
FRA,9219,Elisabeth Neidhart,Pierre-Jean Gallo,,[90 DNS],90 DNS,90 DNS,90 DNS,90 DNS,450,360,83rd
FRA,9220,Philippe Boite,Marin Carnot,,[90 DNS],90 DNS,90 DNS,90 DNS,90 DNS,450,360,83rd
SWE,8917,Jesper Fowelin,Fransisco Martins,,[90 DNS],90 DNS,90 DNS,90 DNS,90 DNS,450,360,83rd
