Nation,Sail_No,Helmsman,Crew,Club,Race 1,Race 2,Race 3,Race 4,Total,Place
GER,8672,Christian Kellner,Klaus Stammerjohann,HSC,2,2,3,DNC -182,7,1
USA,8842,Mark Ivey,Shane Illidge,HHYC,3,3,-7,2,8,2
GER,8875,Jens Findel,Johannes Tellen,"SVG,RSC' 77",11,-14,4,1,16,3
USA,8714,Mike Martin,Jesse Falsone,"NHYC,SSA",10,1,5,-25,16,4
USA,8266,Howard Hamlin,Cam Lewis,"NHYC,NYYC",1,-11,8,8,17,5
GER,8807,Morten Bogacki,Christian Lindemann,"DYC,ETuF",9,8,1,DNF -182,18,6
GBR,8882,Ian Pinnell,Steve Hunt,"HI SC,HI SC",6,5,-10,10,21,7
DEN,8620,Jan Saugmann,Morten Ramsbaek,"HiS,FAS",5,10,6,-16,21,8
GER,8651,Claas Lehmann,Martin Schöler,NRV,-16,13,9,6,28,9
USA,8715,Ethan Bixby,Erik Boothe,"SP YC,SP YC",4,16,-20,9,29,10
SWE,8232,Ebbe Rosen,Olle Wenrup,"MKS,MKS",8,4,-18,18,30,11
USA,8631,Parker Shinn,Ryan Lorence,"SD YC,St FYC",13,7,11,-19,31,12
GER,8728,Dietrich Scheder-Bieschin,Reiner Görge,"NRV,CKA",7,9,17,-26,33,13
GER,8862,Stefan Böhm,Gerald Roos,"SCV,SVWu",DNC -182,21,16,3,40,14
GER,8880,Helen Fischer,Robert Rothe,"BYC,BYC",23,DNF -182,14,5,42,15
GER,8670,Martin Görge,Torsten Haverland,"SYC,SYC",14,25,-29,7,46,16
GER,8669,Tim Böger,Thomas Jung,"HSC,WSCW",24,15,-42,13,52,17
GER,8751,Melanie Oestergaard,Angela Stegner,"HSC,MYC",19,17,19,-43,55,18
USA,8831,Pierre Jeangirard,Paul Von Grey,"WINSA,WINSA",15,18,"27,5",-54,"60,5",19
GER,8878,Hasso Plattner,Peter Alarie,KYC,33,6,"(38,5)",22,61,20
FRA,8683,Pierre Jean Gallo,Regis Viateur,CVSQ,22,DSQ -182,15,27,64,21
USA,8554,Douglas Hagan,Rob Woelfel,"TISC,TISC",21,26,-45,17,64,22
SWE,8844,Jan Eriksson,Johann Arvedson,"NSS,MSS",27,DNF -182,22,23,72,23
GER,8539,Hendrik Schultz,Ute Oberländer,"SCLW,CKA",12,DNC -182,24,38,74,24
RSA,8520,Rudolph Holm,Dietmar Holm,"P SC,P SC",18,-36,25,36,79,25
GER,8531,Michael Troch,Eckart König,"SGJ,SGJ",20,24,-40,35,79,26
GER,8873,Boris Herrmann,Julien Kleiner,"ZSK,KYC",-50,27,"38,5",15,"80,5",27
GER,8777,Stefan Schollmayer,Frisco Sanguino,"SCMSP,DTYC",-51,19,35,31,85,28
AUS,8799,Renee de Voogd,Anthony Dean,"F SC,F SC",41,23,23,DNF -182,87,29
RSA,7286,Thomas Funke,Peter Funke,"T YC,T YC",28,31,30,-50,89,30
GER,8563,Klaus Heeschen,Stefan Schmidt,"TSVS,SvSS",32,22,-52,41,95,31
GER,8665,Jens-Peter Schlomka,Urs Wihlfahrt,"TSVS,ENSFR",-49,28,41,30,99,32
GER,8652,Sebastian Dörr,Christian Dörr,SKO,DNC -182,32,48,24,104,33
GER,8642,Thoralf Greger,Christoph Klein,"ASVG,SKBUe",DNS -182,35,36,33,104,34
GER,8788,Karsten Lahrs,Peter Gerdts,"HYC,SVC",DNS -182,12,50,47,109,35
DEN,8495,Jesper Legind Larsen,Allan Andreasen,"HS,HS",52,DNC -182,26,32,110,36
GER,8478,Malte Christophersen,Sebastian Salein,"KAR,CNFT",29,33,-60,49,111,37
RSA,8707,Albrecht Holm,Warwick Ham,"P SC,P SC",25,38,DSQ -182,52,115,38
GBR,8773,Norman Byrd,Alex Davies,"DW SC,DW SC",30,46,-47,39,115,39
GER,8730,Jens Hufnagel,Markus Schöner,"SLRV,HSC",43,39,33,-45,115,40
USA,8888,Philippe Kahn,Euan McNicol,"W YC,A YF",31,30,-72,56,117,41
GER,8608,Bernd Rasenack,Axel Oetken,"ZSK,ZSK",38,DNC -182,44,37,119,42
GER,8657,Georg Neulen,Kai-Uwe Weiß,"WYCA,BSV 07",DNC -182,20,49,51,120,43
GER,8385,Martin Bernauer,Ulf Geißler,"CNFT,CNFT",DNS -182,37,55,29,121,44
RSA,8789,Tony Murry,Mark Biagio,"P SC,P SC",37,57,32,DNC -182,126,45
GER,8127,Kristine Koenig,Thilo Koenig,"BSV,BSV",42,DNC -182,31,55,128,46
FIN,8405,Raimo Raita,Antti Raita,"V-71,V-71",39,48,-58,42,129,47
FIN,8561,Tomi Laiho,Miika Perden,"B SF,B SF",36,DNC -182,56,48,140,48
GER,8874,Jürgen Waldheim,Martin Maal,"PYC,PYC",40,54,51,DNC -182,145,49
