Ctry,Sail_No,Helmsman/Crew,,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Tot Pts,os
GER,8470,Roberto Steinke,Frank Zschieschang,"YCW,YCW",70,67,122,(DNF),109,123,88,(DNC),DNC,754,117
GER,8105,Karsten Contag,Christian Schönbach,"SCLW,HSC",129,39,115,(DNF),133,99,(DNC),123,118,756,118
GER,8500,Lutz Kandzia,Rainer Lühr,ASV-HBG,-138,137,92,(DSQ),116,127,79,119,86,756,119
RSA,8789,Tony Murry,Mark Biagio,"P SC,P SC",99,114,97,93,136,-153,127,(DNC),95,761,120
FRA,8847,Michel Boiry,Jean Claude Ancelot,"CVP,CVP",(RAF),92,110,98,137,122,(DNC),108,97,764,121
FRA,8603,Jean-Philipp Chartier,Alain Chartier,"CYVP,CYVP",58,-140,135,117,120,92,133,-138,114,769,122
GER,6816,Andreas Jungclaus,Bruno Laudage,"HSC,HSC",118,118,-147,100,(DSQ),106,112,111,109,774,123
GER,8327,Dirk Frank,Stefan Kempf,SCS 87,113,84,103,(DNF),142,111,125,99,(DNF),777,124
GER,8798,Alexander Lampert,Matthias Konrad-Schmolke,"WHW,SV 03",108,136,107,(DNC),66,91,95,(DNC),DNC,778,125
GER,8619,Steve Kwee,Henrik Masekowitz,"HSC,ASV-HBG",-143,113,109,106,117,-130,116,126,94,781,126
GBR,8869,Martin Wedge,Scott Allen,"HI SC,HI SC",(RAF),95,67,(DNC),94,84,DNC,92,DNC,782,127
SWE,8475,Axel Hampe,Jonas Nissen,"DTYC,DTYC",87,126,113,97,-146,-149,139,120,112,794,128
RSA,8584,Hans Rogotzki,Peter Roos,"P SC,P SC",97,103,143,(DNC),(DSQ),124,109,56,DNS,807,129
FIN,7922,Olle Martonen,Björn Pundars,"W SF,W SF",66,32,93,92,(DNC),(DNC),DNC,DNC,DNC,808,130
GBR,8678,Jim Berry,David Barnes,"P S,P S",-155,121,100,96,134,131,124,114,(DNC),820,131
GER,8533,Roger Bussenius,Robert Bussenius,"SCOH,SCOH",123,-154,-134,113,127,105,128,116,115,827,132
GER,8528,Andre Tirre,Frank Wille,"ZSK,ZSK",126,-158,111,116,121,-142,121,128,113,836,133
GER,7661,Christina Höll,Alexander Wilhelm,"HSC,HSC",128,99,-133,107,128,-132,131,132,116,841,134
GER,8560,Christiane Giefers,Jens Krause,"SVPB,SVPB",115,150,116,111,(DNC),107,113,130,(DNC),842,135
GBR,8887,Tom Clayton,Ross Davies,"S SC,SB SC",-147,-164,118,83,140,140,146,110,111,848,136
GER,7035,Michael Köritz,Harald Hundt,"SVO,OYC",144,123,119,101,124,133,104,(DNC),(DNC),848,137
SUI,8727,John Bergquist,Andreas Kindlimann,"SSA,YC G",-141,139,117,(DNC),131,138,103,121,99,"848,5",138
GER,8365,Andreas Lehmann,Robert Hanke,"VSW,VSW",84,129,121,(DNC),97,109,136,(DNC),DNF,851,139
GER,8392,Konrad Barop,Justus Rauno,"RSV,RSV",111,122,125,108,152,143,(DNC),(DNC),98,859,140
POL,7037,Jaroslaw Górski,Piotr Zoltowski,"SKZ,SKZ",151,-152,114,84,123,152,147,90,(DNC),861,141
GER,8570,Stefan Kopyciok,Dominik Hafner,"SCLW,DTYC",132s,109,(DNF),(DNF),99,114,126,106,DNC,861,142
GBR,7566,Olav Schluter,Andreas Schulter,"DWSC,SLSV",-149,130,106,(DNF),135,129,138,137,92,867,143
DEN,8416,Gabriel Schønau Hansen,Johnny Rodholm,"K S,HS",137,143,(DNF),(DNC),64,102,123,129,DNC,"873,5",144
ITA,8097,Marco Giraldi,Andrea Greco,"UVM,LNI",119,120,132,(DNF),119,134,145,127,(DNC),896,145
GER,8607,Antje Paulsen,Björn Schaar,"BSV,BSV",136,148,129,87,138,137,134,(DNC),(DNC),909,146
GER,8463,Hanjo Dr. Petersohn,Tobias Petersohn,"DSCU,DSCU",69,162,(DNC),(DNC),145,151,149,131,103,910,147
GER,7970,Nils Burghard,Rainer Schork,"SCLW,DHH-RG",-157,110,145,(DNC),130,144,140,135,117,921,148
