Country,SailNo,Helm,Crew,Club,R1,R2,R3,R4,R5,City,Total,Net,Rank
CAN,8821,Jeff Boyd,Martin ten Hove,KYC,1,[5],1,4,3,Kingston,14,9,1st
CAN,8735,Martin Hicks,Brent Beninger,NSC,[5],3,4,2,1,Nepean,15,10,2nd
CAN,89*,Marie Gendron,Nicolas Tosi,NSC,[6],2,3,3,4,Saint-Zotique,18,12,3rd
USA,8930,Duane Delfosse,Soloman Marini,LSYC,2,6,[7],5,2,Windham,22,15,4th
CAN,9028,Shona Moss Lovshin,Devlin Lovshin,NSC,4,[11],8,1,6,Chelsea,30,19,5th
USA,9005,Thomas Kivney,Max Crothers,HINGHAM YC,3,4,2,[14 DNC],14 DNC,Hingham,37,23,6th
IRL,8987,Peter Scannell,John Dunlea,MONKSTOWN BAY S,8,1,5,[14 DNC],14 DNC,Saratoga Springs,42,28,7th
CAN,8368,Paul Place,David Mincoff,NSC,7,[10],9,6,7,Chelsea,39,29,8th
CAN,9138,Marek Balinski,Leszek Nowosielski,OHCC,[11],9,11,9,5,Toronto,45,34,9th
USA,9183,Michael Breton,Andrew Gesling,SAIL NEWPORT,[10],7,10,8,9,Charlestown,44,34,10th
CAN,8610,Michael Wonnacott,Shona Weldon,NSC,9,12,6,[14 RET],10,Chelsea,51,37,11th
CAN,7346,Deborah Ashby,Dave Adams,NSC,[14 DNC],14 DNC,14 DNC,7,8,Ottawa,57,43,12th
CAN,7605,Adam J Gesing,David Stetson,,12,8,12,[14 DNC],14 DNC,Kingston,60,46,13th
