Nation,SailNo,HelmName,CrewName,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Boat,Total,Net,Rank
CAN,8645,Marg Hurley,Andrew Gesing,NSC,[6],1,[5],1,2,2,1,1,Green With Envy,19,8,1st
CAN,7346,Deborah Ashby,Dave Adams,NSC,2,[5],1,3,3,3,2,[4],Loose Unit,23,14,2nd
CAN,8600,Marie Gendron,David Brown,NSC,[4],2,3,[5],1,4,4,2,Mistery,25,16,3rd
CAN,8735,Brent Beninger,Martin Hicks,NSC,1,[4],4,4,4,1,3,[6],Spaghetti Factory,27,17,4th
CAN,8410,Clarissa Bush,Chris Gillies,NSC,3,3,2,2,[10 DNC],6,5,[9 RET],Bandersnatch,40,21,5th
CAN,9138,Marek Balinski,Alex Byczko,OHCC,5,6,6,[7],5,[7],6,3,Plastic Surgery Disaster,45,31,6th
CAN,8368,Paul Place,,NSC,7,7,7,6,[10 DNC],[10 DNC],7,9 RET,8368,63,43,7th
CAN,8260,Shona Moss Lovshin,Devlin Lovshin,NSC,[10 DNC],[10 DNC],10 DNC,10 DNC,10 DNC,5,10 RET,5,RR,70,50,8th
CAN,7776,Kyber Lovshin,Philippe Doucet,NSC,[10 DNC],[10 DNC],10 DNC,10 DNC,10 DNC,8,10 RET,10 DNC,Shut up and hang on,78,58,9th
