Nation,SailNo,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,Nett,Rank
RSA,8340,Graeme Willcox,Flynn Robson,WITS,2,1,2,(3.0),2,(3.0),1,1,3,3,1,2,18,1
RSA,8584,Hans Rogotski,Alan Haylett,PSC,1,4,(6.0),2,1,(5.0),2,4,1,1,3,1,20,2
RSA,8707,Albrecht Holm,Warwick Ham,PSC,3,(5.0),4,5,4,4,(7.0),3,2,2,2,3,32,3
RSA,6707,Kyle Klaas,Robert von Grunewaldt,PSC,(8.0),(10.0),1,1,5,2,4,5,4,4,4,4,34,4
RSA,7286,Thomas Funke,Peter Funke,PSC,4,2,3,4,3,1,3,2,(DNC),(DNC),DNC,DNC,44,5
RSA,8789,Tony Murray,K Kuhn,PSC,5,3,5,6,8,6,6,6,7,(DNC),(DNC),DNC,63,6
RSA,584*,Bronwyn Klaas,Gordon Quarmby,PSC,6,(8.0),8,(9.0),7,7,8,7,5,5,6,6,65,7
RSA,4902,Dylan le Roux,Stephen Doubell,PSC,(11.0 DNF),6,(9.0),8,9,8,5,9,6,6,5,5,67,8
RSA,7457,Phil Bennett,A Bennett,VLC,7,7,7,7,6,9,(DNC),(DNC),DNC,DNC,DNC,DNC,87,9
RSA,4475,Andrew Charles,Craig Parker,PSC,9,9,10,10,10,10,(DNC),8,(DNC),7,7,7,87,10
