Nr,Sternik,Załogant,Klub,1,2,3,4,5,6,7,8,9,suma,miejsce
POL 9132,Jarosław Grabowski,Michał Olko,YK STAL  GDYNIA,2,2,1,1,1,1,RET*,2,DNC*,10,1
POL 8909,Karol Milewski,Bartosz Milewski,HERMES SAILING,3,3,3,2,2,RDG*,2,3,DNF*,18,2
POL 9071,Tymon Sadowski,Łukasz Skrzycki,YK STAL  GDYNIA,1,4,9*,4,3,3,3,5*,2,20,3
POL 9023,Przemek Zagórski,Piotr Juckiewicz,YK STAL  GDYNIA,OCS*,1,2,DNF*,4,2,5,4,3,21,4
POL 8736,Adam Kuczyński,Andrzej Borowiak,ŻMKS POZNAŃ,4,5,10*,DNF*,10,10,4,6,4,43,5
POL 8665,Marcin Panek,Patryk Płotka,YK STAL  GDYNIA,8,10*,8,5,5,5,6,OCS*,7,44,6
POL 8217,Jakub Kręciwilk,Wojciech Denderski,PSK 505,6,8*,6,7*,7,6,7,7,5,44,7
POL 8129,Agnieszka Skrzypulec,Konrad Plewa,ZKŻ ZBĄSZYN,DNC*,DNC*,4,3,DNF,DNC,1,1,1,46,8
POL 8802,Mateusz Jura,Adam Kominek,AZS SGH REXONA SAILING,7,6,5,6,8,RET*,9,12*,9,50,9
POL 8358,Jan Domański,Patryk Witkowski,DOMANSKI SAILING TEAM,5,7,13*,DNF*,6,13,8,8,6,53,10
POL 7942,Mieczysław Szwed,Krystian Doch,CENTRUM ŻEGLARSKIE SZCZECIN,9,13*,7,8,11*,7,10,9,10,60,11
POL 8483,Mariusz Michalski,Piotr Duma,YK STAL  GDYNIA,10,9,12*,10,9,4,12*,11,8,61,12
POL 8057,Piotr Rzezak,Aleksandra Mruk,JK KAMIEŃ POMORSKI,11,11,11,9,12*,8,13*,10,11,71,13
POL 6611,Robert Zatorski,Kazimierz Pelasik,JK KAMIEŃ POMORSKI,13,12,14*,11,13,14,15*,14,12,89,14
POL 8751,Krzysztof Osiak,Marcin Jaskółka,,12,14,DNC*,DNC*,DNC,9,14,13,DNF,98,15
DEN 8551,Andrzej Kubiak,Marek Milewski,NAVIGARE,DNC*,DNC*,15,12,14,12,DNF,DNC,DNC,107,16
POL 8359,Tomasz Polikowski,Adam Najmowicz,,DNF*,DNC*,16,13,DNF,DNF,16,15,13,109,17
