Nation,Sail,Skipper,,Yacht Club,1,2,3,4,5,6,7,Boat,Total,Pos
USA,9106,Mike Martin,,StFYC NHYC,[8],1,1,1,4,5,3,Mike's Boat,15T,1
USA,9160,Howard Hamlin,Howard P Hamlin,NHYC/ABYC,2,[6],2,5,3,2,1,The Good Life,15T,2
USA,916*,Kevin Taugher,Paul Allen,Alamitos Bay Yacht Club,4,[7],5,2,2,1,5,,19,3
USA,9004,Eric Anderson,,YCYC,1,2,4,3,5,[10],8,N = 1,23T,4
USA,9072,Mike Holt,,Santa Cruz YC,3,3,6,[14/DNS],1,4,6,IO Integration,23T,5
CAN,9216,Robert Tennant,Stephen N Bourdow,Santa Cruz yc,5,4,3,4,[7],6,4,,26,6
USA,9082,Jeff Miller,Reeve Dunne,Santa Cruz YC,6,5,[7],6,6,3,2,Miracle,28,7
USA,9073,Bruce Edwards,Bruce T Edwards,SCYC,7,[11],9,8,8,7,7,Phetta Regast,46,8
USA,8937,Tim Murphy,Brendan Heusler,None,[11],8,11,7,10,9,9,,54,9
USA,8084,Aaron Ross,Smitty,Santa Cruz Yacht Club,9,9,8,10,11,[14/OCS],10,Rob's Olde Boat,57,10
USA,8680,Evan Diola,Adam Koch,SCYC,10,12,10,[14/DNF],9,8,12,Ever Given,61,11
USA,8753,Ryan Nelson,,Encinal Yacht Club,[12],10,12,9,12,11,11,Rogue One,65,12
USA,7877,Steve Anderes,,IYC,[14/DNF],13,13,11,13,12,13,Spaceman Spiff,75,13
