Nation,Boat No,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Natto,Position
GBR,7189,Peter Colclough,Harold Barnes,,1,1,2,1,1,75,5,1
GBR,7004,Eddie Owen,Andy Gray,,2,2,1,2,2,75,"8,75",2
GBR,7146,Phil Milanes,K. Richardson,,3,6,3,3,3,75,18,3
GBR,7089,Peter White,Andrew Gilmore,,12,3,5,12,8,"0,75","28,75",4
GBR,7170,Mike Hattemore,Mike Payne,,4,7,22,7,5,7,30,5
GBR,7038,Neil Willmott,Paul Willmott,,9,5,8,6,16,3,31,6
USA,7096,Phil Ramming,Tony Wattson,,13,4,7,5,12,67,41,7
GBR,6961,David White,John Labbett,,11,84,11,10,9,5,46,8
USA,7068,Bruce Ayres,Don Ayres,,8,23,9,4,17,13,51,9
GBR,7010,David Pitman,David Henshall,,15,9,12,11,18,,51,10
GBR,6944,M. Wincer,D. Bayfield,,19,10,15,15,11,8,59,11
GBR,6878,Lloyd Fryer,Mike Cox,,76,12,29,8,7,4,60,12
GBR,6960,T. Marlow,S. Cook,,32,8,4,18,15,16,61,13
GBR,6518,David Revill,Nigel Brackenbury,,28,19,25,9,10,2,65,14
GBR,7109,Richard Lord,P. French,,7,22,21,14,6,17,65,15
GBR,7187,Michael Lawton,Terry Lawton,,27,20,6,20,13,11,70,16
GBR,6980,Neil Thomas,Mike Moore,,5,11,14,70,29,15,74,17
GBR,6853,William Goodacre,Graham Thomas,,16,17,27,13,21,12,79,18
GBR,6544,Graham Thomas,Ken Norris,,31,16,18,25,20,9,88,19
GBR,6688,David Treloar,Nigel Treloar,,14,24,24,70,24,6,92,20
GBR,6877,Ben Tucker,Richard Bartholomew,,34,21,23,32,14,10,100,21
GBR,6889,Steve France,John Murphy,,23,18,16,21,26,30,104,22
GBR,7141,Steve Lambourne,G. Lowrey,,22,28,20,22,38,21,113,23
GBR,5731,W.F. Hartje,N. Squirrel,,10,13,31,70,18,43,115,24
GBR,7088,David White,R. Crates,,24,29,17,70,25,20,115,25
GBR,7106,David Clark,Paul Willmott,,20,32,36,23,22,25,122,26
GBR,7183,David Wood,J. Bowman,,26,33,13,19,37,33,124,27
GBR,6563,Vernon Ralston,Peter Siddall,,29,31,37,16,30,23,129,28
GBR,7051,J. Hope,P. Hope,,30,38,19,31,27,28,135,29
GBR,7167,K. Brackwell,A. Bailey,,18,47,35,43,19,35,150,30
GBR,6432,B. Mills,S. Lake,,38,27,32,24,67,29,150,31
GBR,6839,S.R. Tew,I.M. Pullen,,76,84,26,17,23,14,156,32
FRA,5803,Christian Marechal,P. Deroche,,37,26,38,28,32,75,161,33
GBR,7163,Robin Whittle,Nigel Annereau,,39,36,33,26,35,36,166,34
GBR,6676,Roger Deane,Tim Williams,,49,35,58,34,33,22,173,35
GBR,7007,Ian Henry,Mike Henry,,46,46,30,33,36,31,176,36
GBR,7216,Joan Ingram,Jack Edwards,,51,30,39,38,31,40,178,37
GBR,7188,P. Crebbinl,J. Falkner,,6,15,10,75,75,75,181,38
GBR,6785,J. Barrowcliffe,Gareth Edwards,,83,37,28,70,28,19,182,39
GBR,6847,Peter Fisher,Michael Robertson,,36,40,34,70,39,37,186,40
GBR,6104,Ian Stowe,S. Peters,,44,48,46,29,34,34,187,41
GBR,7110,J. Patterson,A. Jones,,25,25,75,37,75,27,189,42
GBR,6786,R. Cooper,E. Wilcock,,45,42,55,36,49,26,198,43
GBR,6089,David Wansborough,C. Royden,,41,39,53,35,38,50,203,44
GBR,6692,Thomas Carr,T. Nash,,50,51,43,30,43,39,205,45
GBR,4814,J.E. Kobylanski,S. Briddon,,76,45,45,49,45,24,208,46
GBR,6880,J. Hitchin,P. Murray,,35,49,51,44,41,67,220,47
IRL,7011,J. Cooke,D. Northridge,,53,54,42,39,42,45,221,48
GBR,5863,T. Cohn,M. Cohn,,48,50,47,41,50,41,227,49
GBR,6840,I. Grant,P. Green,,43,43,50,70,44,52,232,50
GBR,6790,D. Robertson,P. Doe,,33,76,44,51,40,67,235,51
IRL,6604,Denis O'Sullivan,B. Cargoe,,54,44,65,40,54,47,239,52
GBR,5934,P.J. Jones,M. Shipton,,42,55,61,42,53,50,242,53
GBR,6696,Chris Thorne,David Thorne,,56,76,41,70,47,32,246,54
GBR,6542,J. Drakeford,J. Ward,,63,64,48,47,51,38,247,55
GBR,6857,R.E. Sutcliffe,R.G. Wilkes,,40,57,40,70,67,48,252,56
GBR,7158,M. Wetz,C. Mills,,60,52,52,46,60,46,256,57
GBR,6346,J. Hinchcliff,A. Longworth,,55,59,56,45,52,53,261,58
GBR,6675,D.J. Goodman,A.J. Archer,,59,61,60,50,57,44,270,59
GBR,7211,K.F. Pitts,R. Painter,,61,58,49,75,56,49,273,60
GBR,7086,P.R. Noakes,A. McPhie,,47,48,57,70,46,54,274,61
GBR,6359,Stephen Northeast,S. Wing,,57,56,59,48,58,57,276,62
GBR,6687,J.A. Berry,P. Ludlow,,83,63,80,27,67,42,279,63
GBR,6979,R. Kemp,A. Crichton,,21,34,75,75,75,75,280,64
GBR,6834,C.S. Baylis,C. Hart,,76,41,54,70,67,67,299,65
GBR,6701,C. Joyce,A. McCourt,,67,76,68,52,59,58,304,66
GBR,7144,Alan Draper,John Oliver,,58,62,63,70,62,60,305,67
GBR,7164,J. Lake,M. Hanson,,66,66,66,51,75,59,308,68
GBR,6703,J. Whyte,M. Smith,,64,76,73,75,55,55,322,69
GBR,6207,G. Cooper,C. Moore,,52,53,73,70,75,75,323,70
GBR,4416,P. Kelly,J. Thomas,,76,60,62,70,75,56,323,71
GBR,5636,G. Jones,C. Wallace,,62,84,67,70,67,61,327,72
GBR,5740,P. Farrands,A. Corfield,,65,76,69,75,61,62,332,73
GBR,4058,D. Ebdon,F. Ebdon,,76,65,64,70,75,63,337,74
GBR,5388,M. Harrison,G. Pipon,,76,76,75,75,75,75,376,75
GBR,7077,Peter Bainbridge,R. Parker,,17,14,,,,,,76
