CLASS,SAILNO,HELM,CREW,CLUB,RACE 1,RACE 2,RACE 3,RACE 4,TOTAL,NETT,Place
GBR,8774,John Webster,Adrian Coates,Carsington SC,1,(2.0),2,1,6,4,1
GBR,8552,Jim Blyth,Danny Read,Largo Bay SC,2,1,3,(4.0),10,6,2
GBR,8526,Tim Bird,Damon Smith,Burton SC,(3.0),3,1,3,10,7,3
IRL,8429,Michael Ennis,Fenton Parsons,RNI YC,(6.0),6,4,2,18,12,4
GBR,8497,Bill Oliver,Dennis Cartwright,Burton SC,4,4,(5.0),5,18,13,5
GBR,8700,Alan Henderson,Alan Sinclair,Prestwick,5,5,(6.0),6,22,16,6
