Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Boat Name,Points Total,Points Netto,Place
USA,3259,Dennis Surtees,Dave Vickland,,,,,,,,,,1
,0,David Court-Hampton,Phil Tillman,,,,,,,,,,2
USA,0,Bill Pevear,Peter Bevins,,,,,,,,,,3
