Nation,SailNo,Helmname,Crewname,St,Raphael,Riva del Garda,Aarhus,"Europeans,Kiel",Total,Nett,Rank
GER,8875,Findel Jens,Tellen Johannes,,(161.0 DNC),1,1,4,167,6,1
GER,8957,Dr. Hunger Wolfgang,Kleiner Julien,,(161.0 DNC),2,3,1,167,6,2
DEN,8962,Bojsen-Moller Jørgen,Bojsen-Moller Jacob,,(161.0 DNC),6,2,3,172,11,3
GBR,9012,Pinnel Ian,Gibbon Carl,,2,4,(161.0 DNC),6,173,12,4
GER,8958,Koechlin Stefan,Achterberg Andréas,,3,3,(8.0),8,22,14,5
DEN,8964,Saugmann Jan,Ramsbæk Morten,,(161.0 DNC),11,4,2,178,17,6
GER,8651,Kellner Christian,Schoeler Martin,,6,5,(161.0 DNC),11,183,22,7
FRA,8908,Loyal Bertrand,Detappe Xavier,,4,7,(161.0 DNC),19,191,30,8
GER,8992,Lehmann Claas,Oehme Leon,,(161.0 DNC),10,7,17,195,34,9
GER,8901,Söllner Sophie,Stückl Wolfgang,,7,9,(161.0 DNC),23,200,39,10
GER,9020,Böger Tim,Schöner Markus,,(161.0 DNC),18,9,13,201,40,11
GER,8990,Achterberg Frieder,Lanatowitz Arne,,9,19,(161.0 DNC),29,218,57,12
ITA,8916,Ciferri Enrico,Natali Gabriele,,13,24,(161.0 DNC),24,222,61,13
DEN,8440,Christiansen Mikkel,Christiansen Mads,,(161.0 DNC),21,10,35,227,66,14
FIN,8632,Hamström Jari,Laurila Tuomas,,(22.0),17,11,39,89,67,15
GER,8947,Niediek Volker,Heising Stefan,,61,14,(161.0 DNC),15,251,90,16
GER,8609,Holzapfel Alexander,Worm Stefan,,23,25,(161.0 DNC),49,258,97,17
GER,8775,Sell Jan,Gewinn Wiebke,,33,(161.0 DNC),18,50,262,101,18
GER,8751,Birkner Nicola,Stenger Angela,,21,39,(161.0 DNC),41,262,101,19
FIN,8768,Nieminen Jukka,Lehtonen Kari,,30,(161.0 DNC),17,55,263,102,20
GER,8672,Contag Karsten,Von Walter Guido,,37,29,(161.0 DNC),36,263,102,21
GER,8693,Lautenschläger Florian,Schulte Benedikt,,58,38,(161.0 DNC),65,322,161,22
GER,8975,Schomäker Meike,Jess Holger,,(161.0 DNC),161.0 DNC,6,5,333,172,23
FRA,8902,Philippe Boite,Fabrice Toupet,,5,(161.0 DNC),161.0 DNC,9,336,175,24
GER,8728,Görge Martin,Görge Rainer,,(161.0 DNC),161.0 DNC,5,10,337,176,25
IRL,8961,Barry Ewen,Dwyer Charles,,8,12,(161.0 DNC),161.0 DNC,342,181,26
SUI,8543,Bart Cedric,Marti Ueli,,11,(161.0 DNC),161.0 DNC,12,345,184,27
SUI,8569,Betschen René,Lionel Hollinger,,10,16,(161.0 DNC),161.0 DNC,348,187,28
DEN,8828,Andersen Jon,Andreasen Lasse,,(161.0 DNC),161.0 DNC,12,22,356,195,29
FIN,8466,Hyysalo Sampsa,Salonen Antti,,(161.0 DNC),161.0 DNC,13,28,363,202,30
