Country,Boat NO,Helm,Crew,Boat Name,Saint-Raphaël,Campione,Tutzing,Neuchâtel,TOTAL,FINAL,Place
GER,8948,Stefan Köchlin,Andréas Achterberg,,3,94,94,94,285,191,26
GER,8849,Moritz Bohnenberger,Max Mäge,,94,94,3,94,285,191,26
FRA,8844,Xavier Broise,Nicolas des Jamonières,,94,94,94,3,285,191,26
GBR,8908,Bertrand Loyal,Xavier deTappe,,4,94,94,94,286,192,29
FRA,8902,Philippe Boite,Fabrice Toupet,,5,94,94,94,287,193,30
GER,6425,Guillaume Catho,,,94,5,94,94,287,193,30
GER,8651,Christian Kellner,Martin Schöler,,6,94,94,94,288,194,32
GER,8928,Hendrik Schultz,Ute Oberländer,,94,94,7,94,289,195,33
IRL,8961,Ewen Barry,Charles Dwyer,LOWFLO,8,94,94,94,290,196,34
GER,8990,Frieder Achterberg,Arne Lanatowitz,,9,94,94,94,291,197,35
GER,8580,Julian Stückl,Andréas Achterberg,,94,94,9,94,291,197,35
BEL,8880,Geert de Pauw,Jourquin Koen,,94,94,94,9,291,197,35
GER,8807,Lukas Emrich,Jonas Vogt,,94,94,10,94,292,198,37
SUI,8614,Valéry Jacot,Corsin Battaglia,,94,94,94,10,292,198,37
GER,8702,Martin Handel,Antje von Hoyer,,94,94,11,94,293,199,39
GER,8658,Christina Höll,Alexander Wilhelm,,94,94,94,12,294,200,40
GER,8946,Jan Forster,Marcus Neuß,WÜRFEL,14,94,94,94,296,202,41
GER,8463,Mats Westholm,Pedro Bohnenberger,,94,94,14,94,296,202,41
SUI,8636,Othmar Zoller,Daniela Zoller,,94,94,94,14,296,202,41
FRA,88,Pierre-Jean Gallo,Geraud Lafortune,,15,94,94,94,297,203,44
GER,7921,Jochen Heydolph,Udo Wilters,,94,94,15,94,297,203,44
GBR,8694,Matt Hart,Terry Scutcher,,16,94,94,94,298,204,46
FRA,8748,Samuel Carvallo,Gilles Carvallo,,94,94,94,16,298,204,46
GER,8666,Michael Kurzeja,Julius Jacoby,,94,94,17,94,299,205,48
GER,8989,Andréas Jungclaus,Axel Priegann,,17,94,94,94,299,205,48
GER,8721,Sophie Heyer,Sebastian Salein,,18,94,94,94,300,206,50
FRA,8884,Agrapart,Agrapart,,94,94,94,18,300,206,50
FRA,9010,Xavier Broise,Gilles Carvallo,,19,94,94,94,301,207,52
GER,8598,Anna Höll,Bernd Heinisch,,94,94,94,19,301,207,53
GER,8697,Wilfried Stuis,Julius Jacoby,,94,94,20,94,302,208,55
FIN,8632,Jari Hamström,Tuomas Laurila,UKINKALSARIT II,22,94,94,94,304,210,56
GER,8609,Alexander Holzapfel,Stefan Worm,,23,94,94,94,305,211,57
FRA,7541,Wenceslas Dieuzy,Wojciech Butkiewicz,,94,94,94,23,305,211,57
FRA,8900,Serge Gubri,Thibault Di Pède,,24,94,94,94,306,212,59
SUI,8426,Lydia Feller,Samuel Ramp,,94,94,94,24,306,212,60
FRA,8400,Florian Faucheux,Nicolas Croce,SAILING XPERIENCE,25,94,94,94,307,213,61
FRA,7293,Gonzag de Monteil,David de Monteil,,94,94,25,94,307,213,61
FRA,887,Aline Martin,Matthieu Gougeon,BIEN JOUE,26,94,94,94,308,214,63
GER,8929,Jürgen Waldheim,Martin Maal,FOND BROAK,27,94,94,94,309,215,64
FRA,8870,Christian Silvestre,Christian Vallaud,,28,94,94,94,310,216,65
GER,651,Geert de Pauw,Jourquin Koen,,29,94,94,94,311,217,66
FIN,8768,Jukka Nieminen,Kari Lehtonen,,30,94,94,94,312,218,67
FRA,8187,Gabriel le Duc,Cyril Thibaud,,31,94,94,94,313,219,68
GER,8775,Jan Sell,Wiebke Gewinn,,33,94,94,94,315,221,69
LUX,8934,Pierre Kieffer,Jean-Paul Tousch,,34,94,94,94,316,222,70
SUI,8727,Lorenz Nydegger,Martin Nydegger,,35,94,94,94,317,223,71
GER,8473,Oliver Kraft,Frank Heimburger,B-TEAM,36,94,94,94,318,224,72
GBR,8945,Simon Lake,Alex Barry,,38,94,94,94,320,226,73
DEN,8826,Benoît Valleteau de Moulliac,Guillaume Thery,,40,94,94,94,322,228,74
FRA,8402,Frederic Roucayrol,Loïc Bleuez,,41,94,94,94,323,229,75
FRA,8752,Nicolas Martin,Julien Lafortune,,43,94,94,94,325,231,76
FRA,8508,Aurelie Plouviet,Jean-Marc Jungmann,,44,94,94,94,326,232,77
GER,8327,Dirk Frank,Stefan Kempf,WILD VIOLET,45,94,94,94,327,233,78
GBR,8907,Jim Berry,David Barnes,ZIMMERJIM,46,94,94,94,328,234,79
FRA,904,Philippe Markt,Delphine Markt,TITI,48,94,94,94,330,236,80
FRA,8486,Pascal Viaud,Bertrand Lapeyre,,51,94,94,94,333,239,81
ITA,8882,Roberto Loce,,,52,94,94,94,334,240,82
FRA,4664,David Denis,Dubruel Denis,,54,94,94,94,336,242,83
FRA,6245,Lawrence Banahan,Nicolas Claustres,,55,94,94,94,337,243,84
FRA,8515,Yves Niddam,Thierry Gresle,,56,94,94,94,338,244,85
GER,8693,Florian Lautenschläger,Benedikt Schulte,,58,94,94,94,340,246,86
GER,8424,Claus-Michael Lehr,Christine Schaal-Lehr,,60,94,94,94,342,248,87
GER,8947,Volker Niediek,Stefan Heising,,61,94,94,94,343,249,88
FRA,8353,Eric Verplanken,Louis Gibert,HOLD FAST,62,94,94,94,344,250,89
FRA,8623,Dominique Rouanne,Virginie Laurent,,64,94,94,94,346,252,90
GER,8999,Karsten Stümpel,Ute Stümpel,,65,94,94,94,347,253,91
FRA,8008,Vincent Dewaele,Kevin Dewaele,SANS NOM,66,94,94,94,348,254,92
FRA,8427,Frédéric Monnier,Delphine Pauty,,94,94,94,94,376,282,93
