Boot,Steuermann,Vorschoter,,Club,R1,R2,R3,R4,R5,R6,R7,R8,Punkte,Platzierungen
GER,8957,Wolfgang Hunger,Julien Kleiner,PYC,1,1,3,11*,2,3,4*,1,11,1
DEN,8964,Jan Saugmann,Morten Ramsbæk,HiS,4,7*,2,7*,3,1,1,5,16,2
DEN,8962,Jørgen Bojsen-Møller,Jacob Bojsen-Møller,HS,5*,4,5,2,1,6*,2,2,16,3
GER,8875,Jens Findel,Johannes Tellen,KYC,8,23*,1,1,11,DNF 102*,5,4,30,4
GER,8975,Meike Schomäker,Holger Jess,ZSK,3,20*,9,3,5,7,15*,3,30,5
GBR,9012,Ian Pinnell,Carl Gibbons,GWSC,21*,10*,7,6,6,2,6,7,34,6
GER,8806,Lutz Stengel,Frank Feller,ROYC,2,16*,18*,4,13,10,9,11,49,7
GER,8958,Stefan Köchlin,Andreas Achterberg,SKF,22*,29*,4,9,9,18,3,6,49,8
FRA,8902,Philippe Boite,Fabrice Toupet,CVM,7,9,15*,5,15*,5,14,10,50,9
GER,8728,Martin Görge,Rainer Görge,TSVS,17,5,6,17,23*,4,32*,9,58,10
GER,8651,Christian Kellner,Martin Schöler,HSC,16,21*,12,20*,10,4,17,10,69,11
SUI,8543,Cedric Bart,Rene Betschen,CNB,14,2,30*,15,20*,13,13,12,69,12
GER,9020,Tim Böger,Markus Schöner,HSC,13,14,10,19*,14,14,7,19*,72,13
GER,9011,Michael Daisenberger,Bastian Henning,DTYC,6,6,33*,16,8,16,37*,23,75,14
GER,8947,Volker Niedik,Stefan Heising,BSV,30*,11,16,14,7,9,20,25*,77,15
GER,8966,Stefan Böhm,Gerald Roos,SCV,12,34*,22,8,24*,15,8,21,86,16
GER,8992,Claas Lehmann,Leon Oehme,NRV,37*,17,13,12,12,39*,12,26,92,17
GER,8976,Tom Gosch,Rolf Meyer,ENSFV,33*,24,17,25,10,27*,11,13,100,18
GBR,8908,Bertrand Loyal,Xavier Detappe,,45*,27,8,13,37*,11,30,16,105,19
GER,8915,Hasso Plattner,Peter Alarie,KYC,15,39*,44*,20,27,21,16,15,114,20
GER,8927,Ulf Pleßmann,Hans-Heinrich Rix,AYC,28,15,12,24,DNC 102*,8,34,36*,121,21
DEN,8828,Lasse Andresen,Jan Andresen,,31*,8,19,22,25,25,22,34*,121,22
GER,8901,Sophie Söllner,Wolfgang Stückl,CYC,24,18,29,28,16,40*,55*,18,133,23
ITA,8916,Enrico Ciferri,Gabriele Natatli,,10,13,14,29,33,36,45*,37*,135,24
GER,8940,Martin Kittsteiner,Oliver Stieglitz,HSC,20,38*,25,31*,19,28,26,20,138,25
GER,8874,Nørbert Dasenbrook,Sven Meier,KSW,42*,36*,35,27,17,23,17,22,141,26
GER,8989,Andreas Jungclaus,Axel Priegann,HSC,23,12,28,21,34*,31,40*,28,143,27
FIN,8466,Sampsa Hyysalo,Antti Salonen,HSK,19,26,51*,33,30,37*,19,17,144,28
GER,8990,Frieder Achterberg,Arne Lanatowitz,DTYC,54*,28,11,37,57*,12,18,41,147,29
GER,8721,Sophie Heyer,Sebastian Salein,JSC,9,37,24,39*,39,DNC 102*,39,24,172,30
GER,8825,Michael Troch,Eckart König,SGJ,41*,30,26,30,45*,29,28,31,174,31
FRA,8844,Xavier Broise,Nicolas Des Jaminieres,,25,45*,31,23,DNC 102*,33,36,35,183,32
GER,8750,Gunter Peters,Steffen Achenbach,,39,48*,27,38,21,22,43*,38,185,33
GER,8758,Christian Meier-Kothe,Ole Raschdorf,KYC,26,19,47,32,51*,48*,21,43,188,34
DEN,8440,Mikkel Christiansen,Mads Christiansen,Aas,36,46*,36,41,28,43*,35,14,190,35
GER,8672,Karsten Contag,Guido von Walter,SCLW,34,31,40,34,41*,41*,24,29,192,36
GER,8505,Florian Duwe,Marc Helms,TSC,11,54*,34,43,18,44,52*,50,200,37
SWE,8926,Ebbe Rosen,Olle Wenrup,Mai Arhojd,32,3,21,18,26,DNC 102*,DNC 102*,DNC 102,202,38
FIN,8632,Jari Hamstroem,Tuomas Laurila,EMK,35,43,48*,57*,32,34,29,30,203,39
GER,8956,Jan Forster,Marcus Neuß,SGaM,29,33,38,50*,36,DNC 102*,23,45,204,40
GER,8751,Nicola Birkner,Angela Stenger,SVaW,27,40,50*,44,35,47*,27,32,205,41
GER,8720,Lennart Tasche,Frederik Tasche,WSVG09,18,22,43,46,58*,26,51,57*,206,42
GER,8843,Franziska Unkelbach,Lars Dehne,KYC,72*,52,37,40,29,DNC 102*,25,33,216,43
GER,8929,Jürgen Waldheim,Thomas Jung,PYC,47*,61*,32,45,44,19,42,40,222,44
GER,8608,Bernd Rasenack,Hannes Lehning,ZSK,43,44,41,35,22,42,58*,47*,227,45
GER,8563,Stefan Schmidt,Klaus Heeschen,SVSS,56,60*,23,26,31,61*,54,42,232,46
IRL,8514,Peter Scannell,Pal O'Sullivan,,44,51*,46,36,47*,30,41,46,243,47
GER,8656,Kurt Reincke,Carsten Hehl,HSC,38,32,59*,54*,50,54,31,39,244,48
GER,8609,Alexander Holzapfel,Stefan Worm,PSVK,64*,42,45,47,43,24,48*,44,245,49
GER,8775,Jan Sell,Wiebke Gewinn,TUSF,51,25,49,42,63*,45,38,60*,250,50
GER,8777,Stefan Schollmayer,Francisco Sanguino,SCMSP,49,55,56*,49,38,DNC 102*,33,27,251,51
FRA,8948,Nicolas Guillou,Guillaume Got,SNP,48,49,54,DNF 102*,40,20,63*,56,267,52
GBR,9013,Tudor Owen,Toby Winchester,,55,63*,39,59*,48,38,53,54,287,53
GER,8483,Melanie Horstmann,Christine Wegner,HSC,61*,35,58,51,46,49,64*,58,297,54
FIN,8768,Jukka Nieminen,Kari Lehtonen,,40,47,DNC 102*,53,59,DNF 102*,47,51,297,55
GER,8317,Hartwig Friedrichs,Antje Gosch,WSCW,52,56,62*,64*,42,50,44,53,297,56
GER,8657,Georg Neulen,Oliver Schürmann,WYCA,68*,41,57,75*,52,35,65,59,309,57
FRA,8321,Laurant Nevo,Fabrice Bouton,,50,64*,61,48,62,DNC 102*,56,48,325,58
GER,8562,Wolfgang Seifert,Jochen Heydolph,SCLW,62,65*,55,65*,53,62,59,55,346,59
GER,8619,Steve Kwee,Thorsten Spötter,HSC,58,58,71*,55,66,58,80*,61,356,60
GER,8550,Martha Hauschild,Michael Heyder,SCS,74,79,67,63,54,53,61,65,516,61
GER,8772,Julia Tanner,Lukas Tanner,HSC,63,72,74*,76,75*,57,49,52,369,62
FIN,7784,Thomas Held,Timo Vennonen,,46,80*,68,58,65,DNC 102*,60,71,368,63
GER,8741,Jürgen Anton,Ulf Denecke,HSC,77*,62,52,73,49,DNC 102*,72,62,370,64
GER,8693,Florian Lautenschläger,Benedikt Schulte,DTYC,69*,68,63,52,64,DNC 102*,57,66,370,65
GER,8530,Alexander von Mertens,Martin Maal,StSC,59,69*,66,67,61,52,71,68*,376,66
GER,8669,Benedikt Brüggemann,Maxi Mayrshofer,NRV,66,88*,64,68,55,DNC 102*,50,72,375,67
GER,8991,Michael Köritz,Horst Sjuts,USCO,57,75,DNC 102*,DNC 102*,DNC 102,32,46,64,376,68
SWE,8787,Lars Bjerke,Tore Reimold,BKSS,53,57,DNC 102*,DNC 102*,DNC 102,46,70,49,377,69
GER,8513,Sven Dömges,Andreas Happich,ESV86,65,50,72,56,71,DNC 102*,74,78*,388,70
GER,8533,Roger Bussenius,Robert Bussenius,SCOH,70*,67,70*,60,68,56,69,70,390,71
