Sail Number,Team,,Club,R1,R2,R3,R4,R5,T,N,Nr
GER 9146,Nicola Birkner,Johannes Tellen,VSAW,1,(3),1,2,1,8,5,1
DEN 912,Jens Olbrysch,Oliver Thies,,2,(6),3,1,3,15,9,2
GER 8463,Moritz Bruhns,Viktoria Warminski,BYC,4,1,2,6,(17) DNC,30,13,3
GER 8975,Alexander Holzapfel,Michael Freitag,PSVK,3,(7),4,4,2,20,13,4
GER 8875,Torsten Simon,Alexander Neddermeier,SCA,7,4,(9),5,7,32,23,5
GER 9133,Maximilian Adami,Bastian Henning,MYC,5,(17) DNC,5,10,4,41,24,6
GER 9054,Anika Kébreau,Raik Wollenbecker,YCBTF,9,5,6,7,(17) DNC,44,27,7
GER 8915,Davina Schlesiger,Marvin Schlesiger,MSC,6,2,10,(13),10,41,28,8
GER 9021,Jens Biederer,Thomas Wasilewski,HSC,10,(11),7,3,8,39,28,9
GER 8947,Ralf Schneidewind,Oliver Schürmann,SLRV,(13),8,8,8,6,43,30,10
GER 9141,Konrad Otto,Martin Lietz,SG Seeburg Segek e.V.,8,9,(13),9,5,44,31,11
GER 8533,Roger Bussenius,Robert Bussenius,SCOH,12,10,11,(14),11,58,44,12
GER 9000,Thorsten Pösch,Moritz Lüther,SCSZ,11,12,12,11,(17) DNC,63,46,13
GER 8721,Martin Bernauer,Kerstin Bernauer,CKA,(17) DNC,13,14,12,9,65,48,14
GER 8619,Sabrina Rahn,Matthias Dachs,SCG,(17) DNC,17 DNC,17 DNC,17 DNC,17 DNC,85,68,15
POL 9132,Przemek Zagorski,Michał Olko,Yacht Klub Stal,(17) DNC,17 DNC,17 DNC,17 DNC,17 DNC,85,68,15
