Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3",Brutto,Netto,Place
GER,8903,"Boris Herrmann","Julien Kleiner",ZSK,1,1,2,4,4,1
GER,8728,"Claas Lehmann","Rainer Görge",NRV,2,3,1,6,6,2
GER,8609,"Alexander Holzapfel","Stefan Worm",PSVK,2,6,5,13,13,3
GER,8880,"Meike Schomäker","Robert Rothe",ZSK,4,2,8,14,14,4
GER,8531,"Michael Troch","Eckart König",SGJ,6,9,3,18,18,5
GER,8711,"Markus Maisenbacher","Lars Kruse",WVH,7,7,4,18,18,6
GER,8441,"Rainer Gerdes","Frank Scheel",SSCK,5,10,6,21,21,7
GER,8663,"Nørbert Dasenbrook","Sven Meier",KSW,10,5,9,24,24,8
GER,8563,"Klaus Heeschen","Hannes Lehning",WSCW,12,4,11,27,27,9
GER,8843,"Jens Hufnagel","Lars Dehne",ScStM,13,8,7,28,28,10
GER,6816,"Andreas Jungclaus","Bruno Laudage",HSC,9,14,10,33,33,11
GER,7035,"Michael Köritz","Harald Hundt",USCO,8,12,"DNC 19",39,39,12
GER,8376,"Sven Dömges","Andreas Happich",ESV86,14,15,12,41,41,13
GER,8528,"Andre Tirre","Frank Wille",YCS,15,13,13,41,41,14
GER,8747,"Jörg Thumann","Oliver Stieglitz",TuSJ,11,11,"DNC 19",41,41,15
GER,8730,"Karsten Stümpel","Enno Wilts",HSC,16,16,15,47,47,16
GER,8297,"Sven Brömer","Mario Tirre",SCZ,18,17,16,51,51,17
GER,8538,"Lars Metzner","Enno Thaeter",SVN,17,"DNC 19",14,50,50,18
