Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Brutto,Netto,Place
GER,8904,Jan Forster,Holger Jess,SGaM,3,1,6,1,3,14,,1
GER,8751,Helen Fischer,Angela Stenger,BYC,1,2,4,5,4,16,,2
GER,8880,Christian Kellner,Robert Rothe,HSC,4,3,1,4,5,17,,3
GER,8916,Stefan Köchlin,Axel Priegann,SKF,5,17,3,2,2,29,,4
GER,8463,Frieder Achterberg,Nicola Birkner,DTYC,10,5,5,7,1,28,,5
GER,8478,Malte Christophersen,Sebastian Salein,KAR,2,4,17,9,7,39,,6
GER,8825,Armin Eismann,Tino Käcks,SCA,9,11,2,3,9,34,,7
GER,8672,Karsten Contag,Mateusz Sylwesterzak,SCLW,14,7,8,6,19,54,,8
GER,8385,Martin Bernauer,Ulf Geißler,CNFT,8,8,9,14,12,51,,9
GER,8874,Jürgen Waldheim,Martin Maal,PYC,13,16,12,8,8,57,,10
GER,8662,Jan Stölken,Matthias Brühl,SCU,17,13,13,10,6,59,,11
GER,8365,Andreas Lehmann,Robert Hanke,VsAW,6,12,16,11,14,59,,12
GER,6816,Andreas Jungclaus,Oliver Thies,HSC,11,9,10,13,17,60,,13
GER,8625,Falko Braun,Annelie Hartmann,,12,10,11,16,11,60,,14
POL,7539,Kuba Pawluk,Piotr Zoltowski,,7,6,7,DNC 29,DNC 29,78,,15
GER,8530,Alexander von Mertens,Kevin Koch,StSC,16,19,14,18,10,77,,16
GER,8550,Martha Hauschild,Daniel Wehden,SCS,18,14,19,15,15,81,,17
GER,8433,Jürgen Anton,Ulf Denecke,HSC,15,15,20,21,13,84,,18
GER,6786,Hendrik Reinhardt,Christian Eckart,SVSF,20,21,21,12,16,90,,19
POL,8622,Michał Korneszczuk,Jakub Klimek,YKS,23,20,15,17,18,93,,20
GER,8376,Sven Dömges,Andreas Happich,ESV86,19,18,18,19,21,95,,21
GER,8674,Kersten Weichborn,Pedro Bohnenberger,SCIA,22,23,22,20,24,111,,22
GER,8533,Roger Bussenius,Robert Bussenius,SCOH,25,22,24,22,20,113,,23
GER,8730,Enno Wilts,Stefan Schmidt,SVBB,21,24,23,23,23,114,,24
POL,7037,Przemek Zagorski,Piotr Juckiewicz,SKZ,24,26,25,26,22,123,,25
GER,8311,Alexandra Wahler,Michael Kramer,,28,25,26,24,26,129,,26
GER,7732,Iris Anton,Julia Tanner,HSC,27,27,28,25,25,132,,27
GER,7547,Almut Meyer,Martin Weber,SCG,26,28,27,27,DNC 29,137,,28
