Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3",Brutto,Netto,Place
GER,8711,"Markus Maisenbacher","Lars Kruse",WVH,2,1,1,4,4,1
GER,8665,"Jens-Peter Schlomka","Urs Wihlfart",TSVS,6,7,2,15,15,2
GER,8483,"Melanie Horstmann","Peter Kohlhoff",HSC,3,9,8,20,20,3
GER,8758,"Christian Maier-Kothe","Ole Rasschdorf",KYC,11,5,4,20,20,4
GER,8662,"Jan Stölken","Matthias Brühl",SCU,9,8,6,23,23,5
GER,6816,"Andreas Jungclaus","Axel Priegann",HSC,5,10,9,24,24,6
GER,8669,"Tim Böger","Thomas Jung",HSC,1,3,"DNC 21",25,25,7
GER,8522,"Hartwig Friedrichs","Holger Lehning",WSCW,4,4,"DNC 21",29,29,8
GER,8433,"Jürgen Anton","Ulf Denecke",HSC,12,15,5,32,32,9
GER,8843,"Nicolai Völckner","Lars Dehne",HSC,7,6,"DNC 21",34,34,10
GER,7228,"Thomas Kranich","Moritz Kranich",SGR,15,14,7,36,36,11
GER,8619,"Steve Kwee","Henrik Masekowitz",HSC,"DNC 21",17,3,41,41,12
GER,8370,"Martin Görge","Andrea Görge",TSVS,10,13,"DNC 21",44,44,13
GER,8478,"Malte Christophersen","Sebastian Salein",KAR,"OCS 21",2,"DNC 21",44,44,14
GER,8441,"Rainer Gerdes","Frank Scheel",SSCK,8,16,"DNC 21",45,45,15
GER,8625,"Falko Braun","Alex Cross",,13,11,"DNC 21",45,45,16
GER,8463,"Frieder Achterberg","Arne Lanatowitz",DTYC,16,12,"DNC 21",49,49,17
GER,7035,"Michael Köritz","Jens Glaser",USCO,14,18,"DNC 21",53,53,18
GER,8730,"Karsten Stümpel","Enno Wilts",HSC,17,20,"DNC 21",58,58,19
GER,8575,"Benjamin Bintig","Oliver Korittki",YCO,18,19,"DNC 21",58,58,20
