Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Brutto,Netto,Place
GER,8728,Dietrich Scheder-Bieschin,Rainer Görge,NRV,4,2,12,5,2,1,2,28,,1
GER,8875,Jens Findel,Johannes Tellen,KYC,17,1,1,4,1,11,1,36,,2
GER,8751,Helen Fischer,Angela Stenger,BYC,1,4,6,3,7,4,27,52,,3
GER,8880,Christian Kellner,Robert Rothe,HSC,6,BFD 52,4,6,3,2,4,77,,4
GER,8901,Sophie Söllner,Wolfgang Stückl,CYC,2,8,8,1,5,3,11,38,,5
GER,8669,Tim Böger,Thomas Jung,HSC,5,BFD 52,2,9,10,10,9,97,,6
GER,8777,Stefan Schollmayer,Francisco Sanguino,SCMSP,9,6,7,13,9,9,10,63,,7
GER,8466,Volker Niedik,Stefan Heising,BSV,7,BFD 52,14,2,8,16,6,105,,8
GER,8580,Markus Mühlbauer,Andreas Achterberg,DTYC,12,25,3,27,4,5,8,84,,9
GER,8725,Tom Gosch,Rolf Meyer,ENSFV,8,14,18,8,6,6,31,91,,10
GER,8686,Christian Niefert,Thomas Weber,BSV,13,7,10,21,OCS 52,7,12,122,,11
GER,8711,Markus Maisenbacher,Lars Kruse,WVH,10,13,22,19,15,12,5,96,,12
GER,8843,Nicolai Völckner,Lars Dehne,HSC,3,11,19,18,12,14,22,99,,13
GER,8463,Frieder Achterberg,Johannes Schmederer,DTYC,29,19,5,12,20,20,3,108,,14
GER,8478,Malte Christophersen,Sebastian Salein,KAR,21,17,9,11,18,22,7,105,,15
GER,8904,Jan Forster,Daniel Wehden,SGaM,25,9,20,7,11,17,DNC 52,141,,16
GER,8609,Alexander Holzapfel,Stefan Worm,PSVK,19,26,17,10,17,19,13,121,,17
GER,8652,Sebastian Dörr,Christian Dörr,HSC,14,10,30,17,14,24,18,127,,18
GER,8775,Carsten Engel,Tobias Neumeyer,PSVK,32,5,21,14,28,26,19,145,,19
GER,8531,Michael Troch,Eckart König,SGJ,27,32,24,22,13,8,20,146,,20
GER,8672,Karsten Contag,Guido von Walter,SCLW,15,16,26,26,16,28,17,144,,21
GER,8788,Karsten Lahrs,Peter Gerdts,HYC,31,3,13,35,21,37,15,155,,22
GER,8385,Martin Bernauer,Ulf Geißler,CNFT,22,12,11,23,23,31,DNC 52,174,,23
GER,8825,Armin Eismann,Tino Käcks,SCA,24,BFD 52,16,20,2,25,14,153,,24
GER,8579,Hans-Jürgen Rentelmann,Peter Wackerbauer,BSC,16,23,29,28,35,15,16,162,,25
GER,8441,Rainer Gerdes,Frank Scheel,SSCK,39,21,31,31,22,13,21,178,,26
GER,8522,Hannes Lehning,Christoph Fuchs,SWE,28,15,23,16,31,33,29,175,,27
GER,8874,Jürgen Waldheim,Martin Maal,PYC,30,24,34,15,27,27,24,181,,28
GER,8675,Volker Görge,Karsten Morf,TSVS,36,28,25,29,19,34,23,194,,29
GER,8317,Hartwig Friedrichs,Antje Gosch,WSCW,20,20,41,25,25,29,39,199,,30
GER,8507,Benjamin Grosskurth,Thorsten Koch,SCLW,35,31,33,24,32,18,25,198,,31
GER,8127,Kristine König,Thilo König,BSV,11,34,28,37,26,40,DNC 52,228,,32
GER,8712,Siegfried Labenz,Christian Labenz,SVWu,18,33,39,33,29,39,26,217,,33
GER,6816,Andreas Jungclaus,Bruno Laudage,HSC,42,27,15,30,36,38,35,223,,34
GER,8550,Martha Hauschild,Michael Heyder,SCS,26,29,32,36,34,32,30,219,,35
GER,8519,Robert Wisolek,Timo Klapper,SCLW,37,30,36,32,30,23,34,222,,36
GER,8560,Christiane Giefers,Thorge Holm,SVPB,23,43,27,41,37,30,36,237,,37
GER,8530,Alexander von Mertens,Frank Heimburger,StSC,45,18,35,OCS 52,43,35,33,261,,38
GER,7921,Jochen Heydolph,Eckhard Busch,SCLW,43,40,47,34,33,21,40,258,,39
GER,8433,Jürgen Anton,Ulf Denecke,HSC,28,37,43,39,38,45,28,258,,40
GER,7035,Michael Köritz,Lennert Brünig,USCO,34,22,37,44,OCS 52,43,DNC 52,284,,41
GER,8528,Andre Tirre,Frank Wille,YCS,48,42,40,40,39,44,32,285,,42
GER,8607,Antje Paulsen,Björn Schaar,BSV,46,35,42,38,40,36,DNF 52,289,,43
GER,8533,Roger Bussenius,Robert Bussenius,SCOH,41,41,38,45,46,42,38,291,,44
GER,8370,Heiner Hirthe,Gerd Dittmer,,44,BFD 52,49,49,45,41,37,317,,45
GER,8730,Karsten Stümpel,Enno Wilts,HSC,51,39,50,48,42,48,41,319,,46
GER,8450,Jürgen Feuerhake,Anne Nehrenberg,YCSb,33,BFD 52,48,47,41,47,DNC 52,320,,47
GER,5896,Ole Paulsen,Hannes Becker,BSV,49,36,44,43,47,DNC 52,DNC 52,323,,48
GER,8538,Lars Metzner,Enno Thaeter,SVN,47,BFD 52,45,42,DNF 52,46,42,326,,49
GER,8388,Peter Wolffram,Stephan Ottenschläger,,50,38,46,46,44,DNC 52,DNC 52,328,,50
GER,8747,Jörg Thumann,Oliver Stieglitz,TuSJ,40,DNF 52,DNC 52,DNC 52,DNC 52,DNC 52,DNC 52,352,,51
