Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5","Race 6","Race 7","Race 8","Race 9",Brutto,Netto,Place
GER,8807,"Morten Bogacki","Wolfgang Bogacki",DYC,1,1,1,1,1,3,1,1,1,11,,1
GER,8788,"Karsten Lahrs","Peter Gerdts",HYC,8,2,2,3,6,6,2,2,4,35,,2
GER,8663,"Norbert Dasenbrook","Sven Meier",KSW,2,7,3,"OCS 14",7,2,3,6,2,46,,3
GER,8747,"Jörg Thumann","Oliver Stieglitz",TuSJ,3,3,5,5,4,1,5,9,5,40,,4
GER,8711,"Markus Maisenbacher","Lars Kruse",WVH,4,4,6,2,2,"DNC 14",6,4,"DNC 14",56,,5
GER,8775,"Carsten Engel","Stefan Worm",PSVK,5,6,4,4,5,4,7,5,3,43,,6
GER,8825,"Armin Eismann","Dirk Eismann",SCA,6,5,7,7,3,5,4,3,6,46,,7
GER,8720,"Lennart Tasche","Frederik Tasche",WSVG09,7,8,10,6,8,9,10,7,8,73,,8
GER,8550,"Martha Hauschild","Michael Heyder",SCS,10,9,8,8,10,8,9,8,10,80,,9
GER,8376,"Sven Dömges","Andreas Happich",ESV86,12,11,9,10,9,7,8,"OCS 14",7,87,,10
GER,8730,"Karsten Stümpel","Enno Wilts",HSC,9,10,12,11,11,"DNF 14",12,11,9,99,,11
GER,8392,"Konrad Barop","Daniel Zenker",RSV,11,"DNC 14",11,9,12,10,11,10,11,99,,12
GER,7978,"Alexandra Wahler","Michael Kramer",,13,12,13,12,"DNF 14","DNC 14","DNC 14","DNC 14","DNC 14",120,,13
