Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5",Brutto,Netto,Place
GER,8876,"Wolfgang Hunger","Holger Jess",PYC,2,2,1,4,1,10,,1
GER,8903,"Boris Herrmann","Julien Kleiner",ZSK,1,4,5,1,3,14,,2
GER,8875,"Jens Findel","Johannes Tellen",KYC,3,1,"OCS 28",3,2,37,,3
GER,8669,"Tim Böger","Thomas Jung",HSC,5,8,3,5,5,26,,4
GER,8916,"Stefan Köchlin","Axel Priegann",SKF,6,3,8,8,7,32,,5
GER,8843,"Jens Hufnagel","Lars Dehne",ScStM,9,9,4,8,7,37,,6
GER,8728,"Dietrich Scheder-Bieschin","Rainer Görge",NRV,"OCS 28",5,13,6,6,58,,7
GER,8686,"Christian Niefert","Thomas Weber",BSV,8,13,6,18,"BFD 28",73,,8
GER,8531,"Michael Troch","Eckart König",SGJ,14,12,9,10,"DNC 28",73,,9
GER,8720,"Dirk Filimonow","Lars Stöckmann",BSV,4,6,"OCS 28",7,"DNC 28",73,,10
GER,8663,"Nørbert Dasenbrook","Sven Meier",KSW,12,10,12,18,13,65,,11
GER,8665,"Jens-Peter Schlomka","Urs Wihlfart",TSVS,13,16,11,15,10,65,,12
GER,8747,"Jörg Thumann","Oliver Stieglitz",TuSJ,15,17,8,17,11,68,,13
GER,8880,"Meike Schomäker","Robert Rothe",ZSK,"DNC 28",15,15,14,9,81,,14
GER,8563,"Klaus Heeschen","Stefan Schmidt",WSCW,10,14,14,16,18,72,,15
GER,8670,"Martin Görge","Klaus Köhnlein",TSVS,"OCS 28",7,"OCS 28",11,8,82,,16
GER,8904,"Jan Forster","Daniel Wehden",SGaM,"OCS 28",11,"OCS 28",13,4,84,,17
GER,8788,"Karsten Lahrs","Peter Gerdts",HYC,17,21,10,20,15,83,,18
GER,8775,"Carsten Engel","Tobias Neumeyer",PSVK,11,20,13,19,"BFD 28",91,,19
GER,8466,"Volker Niedik","Stefan Heising",BSV,7,19,"OCS 28",9,"BFD 28",91,,20
GER,8522,"Hannes Lehning","Christoph Fuchs",SWE,18,18,"DNC 28",23,14,101,,21
GER,8418,"Jan Sell","Wiebke Gewinn",TUSF,20,22,16,22,16,96,,22
GER,8711,"Markus Maisenbacher","Lars Kruse",WVH,16,24,17,21,"DNC 28",106,,23
GER,8758,"Christian Maier-Kothe","Paul Jaekel",KYC,21,25,18,24,18,106,,24
GER,8550,"Martha Hauschild","Michael Heyder",SCS,22,26,20,25,17,110,,25
GER,8675,"Christian Müllejans","Karsten Morf",SVWu,19,23,19,"DNC 28","DNC 28",117,,26
GER,8730,"Karsten Stümpel","Enno Wilts",HSC,23,"DNC 28","DNC 28","DNC 28","DNC 28",135,,27
