Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Brutto,Netto,Place
GER,8744,Martin Görge,Hans-Heinrich Rix,TSVS,1,1,4,2,3,11,,1
GER,8728,Meike Schomäker,Rainer Görge,ZSK,2,3,1,1,5,12,,2
GER,8665,Lars Bähr,Urs Wihlfart,KYC,3,2,3,4,1,13,,3
GER,8788,Karsten Lahrs,Peter Gerdts,HYC,6,6,2,3,2,19,,4
GER,8531,Michael Troch,Eckart König,SGJ,4,4,5,5,4,22,,5
GER,8418,Jan Sell,Wiebke Gewinn,TUSF,5,5,8,7,7,32,,6
GER,8758,Christian Maier-Kothe,Paul Jaekel,KYC,9,7,7,6,8,37,,7
GER,8563,Stefan Schmidt,Christian Niefert,SVSS,7,9,9,11,6,42,,8
GER,8550,Martha Hauschild,Michael Heyder,SCS,12,12,6,8,12,50,,9
GER,8478,Anna Hauschild,Daniel Wehden,SCS,10,10,10,10,10,50,,10
GER,8500,Lutz Kandzia,Stephan Ramm,ASV,8,8,13,12,13,54,,11
GER,8480,Marc Köster,Christoph Köster,BSV-AT,11,11,12,9,11,54,,12
GER,8675,Karsten Morf,Heike Jansen,CKA,DNF 15,DNF 15,11,13,9,63,,13
GER,7631,Sebastian Papp,Kai Vanselow,BCD,DNF 15,13,14,14,DNF 15,71,,14
