Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3",Brutto,Netto,Place
GER,8728,"Meike Schomäker","Rainer Görge",ZSK,1,1,4,6,6,1
GER,8903,"Boris Herrmann","Julien Kleiner",ZSK,2,3,1,6,6,2
GER,8875,"Jens Findel","Johannes Tellen",KYC,4,2,2,8,8,3
GER,8711,"Markus Maisenbacher","Lars Kruse",WVH,3,4,6,13,13,4
GER,8843,"Helen Fischer","Lars Dehne",BYC,5,6,3,14,14,5
GER,8720,"Lennart Tasche","Frederik Tasche",WSVG09,7,5,7,19,19,6
GER,8608,"Bernd Rasenack","Maike Miechelsen",ZSK,8,7,5,20,20,7
GER,8767,"Melanie Horstmann","Markus Hintz",HSC,10,8,8,26,26,8
GER,6816,"Andreas Jungclaus","Bruno Laudage",HSC,6,9,14,29,29,9
GER,8712,"Siegfried Labenz","Christian Labenz",SVWu,9,10,12,31,31,10
GER,7035,"Michael Köritz","Charlotte Forsthövel",USCO,13,11,9,33,33,11
GER,8675,"Volker Görge","Marlies Endjer",TSVS,11,15,10,36,36,12
GER,8480,"Marc Köster","Christoph Köster",BSV-AT,14,13,11,38,38,13
GER,8528,"Andre Tirre","Frank Wille",YCS,12,16,15,43,43,14
GER,8575,"Benjamin Bintig","Oliver Korittki",YCO,15,14,16,45,45,15
GER,8730,"Karsten Stümpel","Enno Wilts",HSC,16,12,19,47,47,16
GER,8500,"Lutz Kandzia","Markus Wolff",ASV,18,17,13,48,48,17
GER,8311,"Alexandra Wahler","Michael Kramer",,19,18,17,54,54,18
GER,8297,"Mario Tirre","Henry Stoffers",SCZ,17,19,18,54,54,19
