Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Brutto,Netto,Place
GER,8621,Stephan Schweiger,Florian Heil,SCLW,2,1,1,4,4,1
GER,8693,Michael Daisenberger,Florian Lautenschläger,DTYC,1,2,5,8,8,2
GER,8901,Stefanie Wagner,Wolfgang Stückl,DTYC,4,3,2,9,9,3
GER,8777,Robert Wisolek,Nette Jansen,SCLW,3,4,4,11,11,4
GER,8507,Alexander Holzapfel,Stefan Worm,PSVK,6,5,3,14,14,5
GER,8672,Karsten Contag,Thorsten Koch,SCLW,5,6,6,17,17,6
GER,8579,Peter Wackerbauer,Claudia Opitz,RSB,9,7,9,25,25,7
GER,8518,Klaus Eifler,Thomas Thym,SCLW,10,9,14,33,33,8
GER,8642,Thoralf Greger,Silke Wolfstetter,ASVG,7,DNC 19,8,34,34,9
GER,8861,Hans-Otto Frisch,Jochen Heydolph,SCLW,14,13,7,34,34,10
GER,8527,Hartmut Weiß,David Farmer,SCLW,11,15,11,37,37,11
GER,8388,Peter Wolffram,Stephan Ottenschläger,,13,11,13,37,37,12
GER,7854,Timo Klapper,Christoph Demarczyk,SCLW,12,17,10,39,39,13
GER,8719,Albrecht Maisch,Frank Letsche,SGK,8,14,18,40,40,14
GER,8674,Kersten Weichborn,Pedro Bohnenberger,SCIA,17,10,15,42,42,15
GER,8475,Göran Berggren,Agnes Berggren,SCLW,DNF 19,8,16,43,43,16
GER,7970,Mats Westholm,Melanie Tschiche,SCLW,15,16,12,43,43,17
GER,8697,Wilfried Stuis,Benjamin Lasnier,YCN,16,12,17,45,45,18
