Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Brutto,Netto,Place
GER,8625,Alex Cross,Falko Braun,SCR,2,1,1,3,2,5,2,16,,1
GER,8772,Ronald Roos,Kirsten Roos,SVWu,1,5,4,2,1,4,6,23,,2
GER,8777,Stefan Schollmayer,Christoph Klein,SCMSP,6,3,3,5,4,1,1,23,,3
FRA,8484,Philippe Blanchard,Charles Maire,ACAL,10,2,2,1,3,6,7,31,,4
GER,8702,Martin Handel,Heike Winchenbach,SGK,4,9,5,6,7,2,4,37,,5
GER,8327,Dirk Frank,Stefan Kempf,SCS,5,7,7,7,5,3,3,37,,6
GER,8560,Christiane Giefers,Thorge Holm,SVPB,3,4,8,10,6,10,5,46,,7
GER,8530,Alexander von Mertens,Michael Becker,StSC,7,6,9,9,11,7,0,49,,8
GER,8450,Jürgen Feuerhake,Margit Falk,YCSb,9,8,12,8,8,8,12,65,,9
GER,8114,Gerhard Engel,Renita Engel,YCSB,DNC 20,11,10,4,13,11,10,79,,10
FRA,8820,Robert Lehmann,Bernard Edel,ACAL,11,14,6,11,17,12,16,87,,11
GER,8697,Wilfried Stuis,Michael Denner,YCN,15,13,13,13,9,16,11,90,,12
GER,8587,Claus-Michael Lehr,Constantin Blümel,SCNS,8,10,14,12,DNF 20,17,13,94,,13
GER,5597,Daniel Winkel,Christian Winkel,YCSB,DNF 20,12,11,15,10,9,DNF 20,97,,14
GER,8279,Olivier Koch,Markus Klos,SCBO,14,DNF 20,16,16,15,14,9,104,,15
GER,8415,Elmar Neugart,Jürgen Girhe,SZHB,12,DNF 20,17,14,16,15,15,109,,16
GER,7978,Alexandra Wahler,Michael Kramer,,13,15,18,17,12,18,18,111,,17
GER,8458,Detlef Nill,Moritz Nill,YCSB,17,DNF 20,DNF 20,DNF 20,14,13,14,118,,18
GER,7778,Anne Nehrenberg,Hans Jürgen Nehrenberg,SCBo,16,16,15,18,18,19,17,119,,19
