Boot,,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Punkte,Pl.
GER,8876,Wolfgang Hunger,Holger Jess,PYC,2,1,1,4,1
GER,8875,Jens Findel,Johannes Tellen,KYC,1,2,2,5,2
GER,8686,Christian Niefert,Thomas Weber,BSV,3,4,4,11,3
GER,8903,Boris Herrmann,Julien Kleiner,ZSK,4,3,5,12,4
GER,8670,Meike Schomäker,Rainer Görge,ZSK,5,5,3,13,5
GER,8317,Hartwig Friedrichs,Antje Gosch,WSCW,6,7,6,19,6
DEN,8416,Henrik Buhl,Johnny Rodholm,FSDK,7,6,7,20,7
GER,8575,Benjamin Bintig,Oliver Korittki,YCO,9,8,8,25,8
GER,8758,Christian Meier-Kothe,Paul Jaekel,KYC,8,DNC,9,27,9
