Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Brutto,Netto,Place
GER,8672,Karsten Contag,Guido von Walter,SCLW,0,0,0,0,0,1
GER,8621,Stephan Schweiger,Florian Heil,SCLW,0,0,0,0,0,2
GER,8642,Thoralf Greger,Christoph Klein,ASVG,0,0,0,0,0,3
GER,8769,Nathalie Friedrich,Claudius Zeiler,SCLW,0,0,0,0,0,4
GER,8562,Wolfgang Seifert,Christian Voggeser,SCLW,0,0,0,0,0,5
GER,8861,Hans-Otto Frisch,Jürgen Wiesmeier,SCLW,0,0,0,0,0,6
GER,7661,Christina Höll,Alexander Wilhelm,HSC,0,0,0,0,0,7
GER,8519,Robert Wisolek,Nette Jansen,SCLW,0,0,0,0,0,8
GER,8777,Kersten Weichborn,Francisco Sanguino,SCIA,0,0,0,0,0,9
GER,7801,Benjamin Grosskurth,Melanie Tschiche,SCLW,0,0,0,0,0,10
GER,8*,Thomas Holik,Ivonne Seifert,SGR,0,0,0,0,0,11
GER,8579,Peter Wackerbauer,Claudia Opitz,RSB,0,0,0,0,0,12
GER,8507,Thorsten Koch,Antje von Hoyer,SCLW,0,0,0,0,0,13
GER,8542,Pecher Markus,Thomas Schrauff,SGR,0,0,0,0,0,14
