Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Brutto,Netto,Place
DEN,8620,Jan Saugmann,Morten Ramsbæk,HiS,2,4,1,8,2,17,,1
GER,8903,Boris Herrmann,Julien Kleiner,ZSK,3,BFD 53,2,1,7,66,,2
GER,8916,Stefan Köchlin,Axel Priegann,SKF,16,6,7,2,3,34,,3
GER,8875,Jens Findel,Johannes Tellen,KYC,10,12,3,3,4,32,,4
FRA,8771,Philippe Boite,Fabrice Toupet,CVM,12,2,6,28,11,59,,5
GER,8720,Dirk Filimonow,Lars Stöckmann,BSV,6,7,4,25,14,56,,6
GER,8876,Wolfgang Hunger,Holger Jess,PYC,4,BFD 53,23,4,1,85,,7
GER,8665,Lars Bähr,Urs Wihlfart,KYC,5,3,11,15,20,54,,8
GER,8466,Volker Niedik,Stefan Heising,BSV,13,BFD 53,9,10,5,90,,9
GER,8751,Helen Fischer,Angela Stenger,BYC,1,11,17,29,12,70,,10
GER,8744,Ulf Pleßmann,Hans-Heinrich Rix,AYC,11,13,12,18,9,63,,11
GER,8728,Dietrich Scheder-Bieschin,Rainer Görge,NRV,7,BFD 53,26,7,8,101,,12
GER,8880,Christian Kellner,Robert Rothe,HSC,20,BFD 53,5,11,16,105,,13
GER,8686,Christian Niefert,Thomas Weber,BSV,19,5,22,20,10,76,,14
GER,8862,Stefan Böhm,Gerald Roos,SCV,28,19,21,6,17,91,,15
GER,8580,Markus Mühlbauer,Andreas Achterberg,DTYC,26,18,13,9,15,81,,16
DEN,8849,Per Larsen,Henrik Andersen,Farum,8,18,10,31,22,89,,17
DEN,8828,Jon Andersen,Lasse B. Andersen,Reers,21,15,8,14,21,79,,18
GER,8670,Martin Görge,Klaus Köhnlein,TSVS,9,BFD 53,19,21,19,121,,19
GER,8901,Sophie Söllner,Wolfgang Stückl,CYC,14,9,34,13,DSQ 53,123,,20
GER,8915,Hasso Plattner,Peter Alarie,KYC,18,BFD 53,39,5,13,128,,21
DEN,8826,Tom Bøjland,Uffe Andersen,Farum,25,11,28,12,29,105,,22
GER,8531,Michael Troch,Eckart König,SGJ,22,22,18,22,26,110,,23
GER,8609,Alexander Holzapfel,Stefan Worm,PSVK,30,19,16,27,23,115,,24
GER,8725,Tom Gosch,Rolf Meyer,ENSFV,15,BFD 53,27,26,18,139,,25
GER,8669,Tim Böger,Thomas Jung,HSC,27,31,14,24,DNC 53,149,,26
GER,8651,Claas Lehmann,Martin Schöler,NRV,OCS 53,BFD 53,29,16,6,157,,27
GER,8563,Melanie Horstmann,Cornelia Dreier,HSC,32,17,24,36,32,141,,28
FIN,7935,Jari Hamstroem,Tuomas Laurila,EMK,29,20,31,39,25,144,,29
DEN,8416,Henrik Buhl,Johnny Rodholm,FSDK,41,26,20,32,30,149,,30
GER,8711,Markus Maisenbacher,Lars Kruse,WVH,44,21,15,41,34,155,,31
GER,8788,Karsten Lahrs,Peter Gerdts,HYC,23,29,38,33,27,150,,32
GER,8775,Christian Müllejans,Carsten Engel,SVWu,34,24,46,23,35,162,,33
DEN,8440,Mikkel Christiansen,Mads Christiansen,Aas,17,14,33,DNC 53,DNC 53,170,,34
SWE,8912,Magnus Nilsson,Andreas Carlsson,GKSS,36,16,43,34,31,160,,35
GER,8478,Malte Christophersen,Sebastian Salein,KAR,31,DNC 53,25,35,28,172,,36
GER,8747,Jörg Thumann,Oliver Stieglitz,TuSJ,33,27,44,29,37,170,,37
GER,8463,Frieder Achterberg,Thomas Klug,DTYC,38,BFD 53,35,30,24,180,,38
GER,8675,Volker Görge,Karsten Morf,TSVS,39,35,40,17,38,169,,39
GER,8758,Christian Maier-Kothe,Paul Jaekel,KYC,47,25,36,38,36,182,,40
GER,8825,Armin Eismann,Tino Käcks,SCA,35,32,41,42,33,183,,41
GER,8904,Martha Hauschild,Daniel Wehden,SCS,40,30,30,43,DNF 53,196,,42
GER,8560,Christiane Giefers,Thorge Holm,SVPB,34,23,45,40,40,182,,43
GER,8570,Alexander Kodisch,Stephan Heuke,DTYC,43,BFD 53,32,37,39,204,,44
GER,8843,Jens Hufnagel,Lars Dehne,ScStM,37,28,42,DNC 53,DNC 53,213,,45
GER,8418,Jan Sell,Stefan Schmidt,TUSF,42,33,37,DNC 53,DNC 53,218,,46
GER,8458,Helmut Madeheim,Jens Krause,PBYC,50,34,47,45,41,217,,47
DEN,8551,Kim Sørensen,Sand Flemming,Kalunborg,46,36,50,47,43,222,,48
GER,8522,Hannes Lehning,Christoph Fuchs,SWE,24,48,DNC 53,DNC 53,DNC 53,231,,49
GER,8730,Karsten Stümpel,Enno Wilts,HSC,48,37,51,46,DNC 53,235,,50
GER,8392,Konrad Barop,Justus Rauno,RSV,49,DNC 53,48,44,42,236,,51
GER,8450,Jürgen Feuerhake,Anne Nehrenberg,YCSb,DNC 53,DNC 53,49,48,DNC 53,256,,52
