Nation,Boat NO,Helm,Crew,Club,Race 1,Points,Place
IRL,8961,Ewan Barry,Charles Dwywer,,1,1,1
GER,8807,Claas Lehmann,Leon Oehme,NRV,2,2,2
GER,8550,Martha Hauschild,Michael Heyder,SCS,3,3,3
GER,8433,Jurgen Anton,Thomas Tschentscher,HSC,4,4,4
USA,8919,Tom Gosch,Rolf Meier,ENSFR,5,5,5
GER,8758,Christian Meier-Koth,Ole Raschdorf,KYC,6,6,6
IRL,8542,Ronan Kennially,John Gorman,lrland,7,7,7
GER,8370,Karten Stumpek,Ute Stümpel,Lollip,8,8,8
GER,7861,Katharina Menge,Henning Ries,OSG,9,9,9
GER,8500,Christian Henge,Matthias Fedde,OSG,10,10,10
FIN,8632,Jari Hamstrom,Toumas Laurila,KuoPS,11,11,11
GER,8470,Oliver Schumann,Fraue Schumann,WYCA,12,12,12
GER,8480,Marc Koster,Christoph Koster,BSV,13,13,13
GER,7732,Iris Feldmann,Birgit Hartmann,SLVR,14,14,14
GER,8570,Dierk Möller,Britta Knaller,WSCW,15,15,15
GER,8958,Stefan Kochlin,Axel Priegan,SKF,25 DNS ,25,16
GER,8825,Michael Troch,Eckart Konig,SCB,25 DNS ,25,16
GER,8772,Julia Tanner,Lukas Tanner,HSC,25 DNS ,25,16
GER,8728,Eike Jorg Frahseck,Matrin Erichsen,ASC,25 DNS ,25,16
GER,8317,Hartwig Friederichs,Antje Gosch,WSCW,25 DNS ,25,16
GER,8720,Frederik Tasche,Ralf Scheidemann,WSVG,25 DNS ,25,16
GER,8282,Christan Lempp,Max Rauner,HSC,25 DNS ,25,16
GER,8049,Matthias Tellen,Moritz Liither,RSC,25 DNS ,25,16
GER,6816,Andreas Jungclaus,Bruno Laudage,HSC,25 DNS ,25,16
