Boot,,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Platzierungen 5,Punkte,Pl.
GER,8806,Lutz Stengel,Frank Feller,ROYC,1,1,10,1,2,,1
GER,8721,Malte Christophersen,Sebastian Salein,KAR,2,2,1,2,1,,2
GER,8599,Florian Duwe,Marc Helms,TSC,3,6,2,4,4,,3
GER,8956,Jan Forster,Marcus Neuß,SGaM,7,4,3,5,14,,4
GER,8686,Christian Niefert,Axel Priegann,BSV,9,3,8,3,15,,5
GER,8672,Karsten Contag,Guido von Walter,SCLW,4,5,9,6,11,,6
GER,8365,Steffen Dülsen,Andreas Lehmann,VSW,6,15,5,14,3,,7
GER,8720,Lennart Tasche,Frederik Tasche,WSVG09,5,DNF,7,10,8,,8
GER,8563,Stefan Schmidt,Jens Lücke,SVSS,10,8,6,9,7,,9
GER,6817,Ralf Schneidewind,Peter Tefert,KSC,14,11,15,8,5,,10
GER,8712,Siegfried Labenz,Christian Labenz,SVWu,8,7,14,13,10,,11
GER,8550,Martha Hauschild,Daniel Wehden,SCS,11,14,4,12,12,,12
GER,8654,Nikolaus Jägersberg,Wolfgang Hiltscher,SCLW,RAF,13,13,11,6,,13
GER,8929,Jürgen Waldheim,Martin Maal,PYC,12,12,12,7,DNF,,14
GER,8533,Roger Bussenius,Robert Bussenius,SCOH,13,10,16,15,9,,15
GER,8418,Jan Sell,Wiebke Gewinn,TUSF,15,9,11,16,13,,16
