Boot,,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Platzierungen 5,Punkte,Pl.
GER,8919,Tom Gosch,Rolf Meyer,ENSFV,1,1,1,3,1,,1
GER,8807,Claas Lehmann,Leon Oehme,NRV,2,3,4,1,2,,2
GER,8956,Jan Forster,Marcus Neuß,SGaM,3,2,3,2,4,,3
GER,8563,Stefan Schmidt,Jens Lücke,SVSS,8,5,2,4,3,,4
GER,8758,Christian Meier-Kothe,Ole Raschdorf,KYC,4,4,5,6,5,,5
GER,8720,Lennart Tasche,Frederik Tasche,WSVG09,6,7,6,5,DNC,,6
GER,8317,Hartwig Friedrichs,Antje Gosch,WSCW,7,DNC,7,7,6,,7
GER,8788,Karsten Lahrs,Peter Gerdts,HYC,5,9,DNC,9,9,,8
GER,8656,Kurt Reincke,Carsten Hehl,HSC,10,6,9,10,8,,9
GER,8528,Andre Tirre,Frank Wille,YCS,9,10,10,11,10,,10
GER,8772,Julia Tanner,Lukas Tanner,HSC,DNC,8,8,14,12,,11
GER,8500,Christian Henge,Rainer Gieseler,OSG,12,12,11,13,DNC,,12
GER,7861,Katharina Menge,Henning Ries,OSG,13,11,12,16,DNC,,13
GER,8370,Karsten Stümpel,Ute Stümpel,HSC,11,DNC,DNC,12,11,,14
GER,8550,Martha Hauschild,Michael Heyder,SCS,DNC,DNC,DNC,8,7,,15
GER,8470,Oliver Schürmann,Frauke Schürmann,WYCA,14,DNC,DNC,15,DNC,,16
GER,8297,Mario Tirre,Henry Stoffers,SCZ,DNC,DNC,DNC,15,DNC,,17
