Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Boat Name,Points Total,Points Netto,Place
FIN,8927,Kaj Lindfors,Johan Halonen,ASS,1,1,1,1,2,[5],2,2,,15,10,1
FIN,8835,Otto Toivanen,Matti Pentti,HSK,2,3,[5],2,1,2,3,3,,21,16,2
FIN,8678,Tatu Miettinen,Ville Tarvo,EMK,5,[7],2,3,3,3,1,1,,25,18,3
FIN,8912,Raimo Raita,Juha Nurmela,Vene 71,4,[8],3,6,7,4,4,4,,40,32,4
FIN,9069,Rosemarie Hartman,Rosabella Hartman,M,3,4,8,4,6,1,8,[10 DNC],,44,34,5
FIN,9043,Hannu Pöyry,Matti Dillemuth,VVK,[8],2,4,7,5,6,5,6,,43,35,6
FIN,8053,Petri Ebeling,Juhani Heimsch,HSK,7,5,7,[8],4,7,6,5,,49,41,7
FIN,9212,Thomas Held,Timo Vennonen,BSS,6,6,6,5,8,8,7,[10 DNF],,56,46,8
FIN,8907,Mikko Laine,Ilkka Tuomi,TPS,[10 DNC],10 DNC,10 DNC,10 DNC,10 DNC,10 DNC,10 DNC,10 DNS,,80,70,9
