Sail,Number,Team,,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total,Netto,Nr
FIN,9069,Rosemarie Hartman,Tuomas Laurila,M,1,[2],1,2,2,1,9,7,1
FIN,8927,Kaj Lindfors,Johan Halonen,ASS,[2],1,2,1,1,2,9,7,2
FIN,9043,Hannu Pöyry,Matti Dillemuth,VVK,4,[5],4,3,3,5,24,19,3
FIN,9212,Thomas Held,Timo Vennonen,BSS,3,4,[11]DNF,4,5,4,31,20,4
FIN,8053,Petri Ebeling,Juhani Heimsch,HSK,6,3,3,[9],7,6,34,25,5
FIN,8912,Raimo Raita,,Vene 71,5,[11]DNF,11DNC,5,6,3,41,30,6
FIN,8907,Mikko Laine,Ilkka Tuomi,TPS,7,7,5,6,[8],7,40,32,7
FIN,7922,Olle Martonen,Mikael Nylund,WSF,[9],8,7,7,4,8,43,34,8
FIN,8741,Taru Karttunen,Mikael Ervamaa,HSS,10,6,6,8,[11]DNF,9,50,39,9
FIN,9242,Kari Lehtonen,,HSK,8,9,8,[10],9,10,54,44,10
