Nation,Boat No,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,,Position
CAN,8264,Jeff Boyd,Steven Yates,,1,1,2,1,4,1,,1
CAN,8698,Chris Fowler,Andrew Fowler,,2,2,1,5,3,2,,2
USA,8073,Catherine Long,Stephen Long,,5,4,4,3,6,3,,3
CAN,7605,Renka Gesing,Adam Gesing,,4,3,5,7,5,8,,4
USA,8624,Graham Alexander,Dave Stetson,,DNS,DNS,3,2,2,4,,5
USA,8013,Brook Hamilton,Justin Kitney,,3,5,DNS,4,1,6,,6
USA,8011,Carolyn Price,Carol Alexander,,DNS,DNS,DNS,6,7,5,,7
USA,7793,Dave Seiple,Geoff Schaefer,,DNS,DNS,DNS,8,8,7,,8
