Nation,Sail No,Helm,Crew,Club,R1,R2,R3,R4,Pts,Pos
RSA,8340,Graeme Willcox,Alan Haylett,VLC,2,1,4,1,8,1st
RSA,7682,Rob Willcox,Ditmar Herrmann,VLC,4,2,1,3,10,2nd
RSA,8789,Tony Murray,Kobus Holtzhausen,PSC,5,3,2,6,16,3rd
RSA,8406,Rudolph Holm,Rick Shearar,PSC,7,6,5,2,20,4th
RSA,7821,Paul Willcox,Tim Archer,VLC,3,5,9,4,21,5th
RSA,406*,Thomas Funke,Peter Funke,PSC,8,7,3,5,23,6th
RSA,8615,Hans Rogotski,Peter Roos,PSC,6,4,7,7,24,7th
RSA,8121,Albrecht Holm,Dietmar Holm,PSC,1,8,8,8,25,8th
RSA,6707,Kyle Klaas,Charles Crosby,PSC,9,9,6,9,33,9th
