Nation,Sail No,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Pts,Pos
RSA,8340,Graeme Willcox,Alan Haylett,VLC,1,1,1,1,1,3,1,2,15 DNC*,15 DNC*,11,1st
ZIM,8445,Patrick McCosh,Richard Stenson,HYC,2,4,5,3,5,2,4,15 DNF*,15 DNC*,2,27,2nd
RSA,8615,Hans Rogotski,Peter Roos,PSC,7,3,6,2,9*,5,6,1,15 DNC*,1,31,3rd
RSA,406*,Thomas Funke,Peter Funke,PSC,6,5,9*,9*,4,8,3,4,1,3,34,4th
RSA,7682,Rob Willcox,Ditmar Herrmann,VLC,5,2,2,4,2,1,5,15 DNC*,15 DNC*,15 DNC,36,5th
RSA,8789,Tony Murray,Kobus Holtzhausen,PSC,4,6,10,6,3,6,2,3,15 DNC*,15 DNC*,40,6th
RSA,8406,Rudolph Holm,Rick Shearar,PSC,3,10*,7,7,6,9,10*,5,2,4,43,7th
RSA,8537,Steve Hegerstrom,Ian Hogg,PYC,8,7,3,5,11,4,7,15 DNF*,15 DNC*,15 DNC,60,8th
RSA,8121,Albrecht Holm,Warwick Ham,PSC,10,8,8,12,7,12,13*,7,15 DNC*,5,69,9th
RSA,6707,Kyle Klaas,Charles Crosby,PSC,9,15 RAF*,4,8,8,7,8,15 DNF*,15 DNC,15 DNC,74,10th
RSA,0,Arno Daehnke,Stephan,PYC,11,11,11,10,10,11,12,6,15 DNC*,15 DNC*,82,11th
RSA,7457,Phil Bennet,Mark Abbotts,VLC,12,9,12,11,12,13,11,15 DNF*,15 DNC*,15 DNC,95,12th
RSA,8520,Dietmar Holm,Oloff Mare,PSC,15 DNC*,15 DNC*,15 DNC,15 DNC,15 DNC,10,9,15 DNF,15 DNC,15 DNC,109,13th
RSA,0,Bobby Dutton, , ,15 DNC*,15 DNC*,15 DNC,13,15 DNC,15 DNF,15 DNC,15 DNC,15 DNC,15 DNC,118,14th
