Nation,Boat No,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Total,Netto,Place
FRA,6459,Michel Christ,Jacques Chouraki,20 C.V. PARIS,36,3,2,1,2,54,12,1
GBR,6595,Mike Hattemore,Mike Payne,WORTHING Y•C.,4,24,1,5,1,48,18,2
FRA,6732,Jean-Pierre Cordonnier,Alain Cordonnier,07 APC ENSM,2,6,3,2,4,31,20,3
FRA,6907,Jean-François Fountaine,Pierre Fountaine,08 S.R.R.,11,4,8,6,3,62,39,4
FRA,6179,Marc Conan,Eric Conan,60,34,7,6,9,5,90,50,5
FRA,6580,Gilbert Vinches,Connaro,20 YC ORAVEIL,25,8,5,8,7,82,51,6
FRA,6448,Georges le Troquer,E. Devaux,20 C.V.E.S.Q.,1,28,17,12,9,90,56,7
FRA,6060,Levesque,Lepage,07 S.N. OUEST,28,1,4,19,19,92,58,8
FRA,6721,Marcel Buffet,Philippe Sérane,20 CV PARIS,5,9,7,14,15,79,58,9
FRA,6813,Guillaume,Dupuis,,15,2,11,29,11,93,58,10
SUI,6579,Ruedi Christen,Mathis,S.C.A.C.,3,10,15,11,26,92,60,11
SUI,6471,Lucien Keller,Pascalis,C.N. MORGIEN,10,38,20,10,6,114,70,12
SUI,6750,Josef Zuppiger,Brechbuhler,P.C. OBERHOFEN,21,18,18,3,10,97,70,13
SUI,6650,Schiess,Schiess,S.C.C. CHAN,30,13,9,4,24,108,72,14
FRA,6279,Alain Doloy,Polet,20 C.V. PARIS,7,49,22,20,12,140,85,15
FRA,5565,Guillen,Barlier,09 BORO.NOROIT,11,29,13,23,16,122,87,16
SUI,6643,Martin Ingold,Peter Neth,S.K.STANSSTAOT,16,19,42,7,23,137,89,17
FRA,5039,Gubri,Courty,20 C.V. PARIS,9,12,23,28,21,123,89,18
FRA,6590,Robert Leibovitch,,04 OUISTREHAME,29,20,16,16,13,124,80,19
FRA,6913,Yves Pottier,Reine,07 CN BAULE P.,47,17,28,25,14,161,108,20
FRA,6804,Bachmann,Dalier,12 CV THEOULE,12,25,29,21,33,150,111,21
FRA,6811,Bernard Oudard,Denis Oudard,20 Y.C. BRIE,26,61,19,15,27,178,111,22
FRA,6427,Turquem,Camus,04 COUTAINVILL,48,26,12,31,20,167,113,23
FRA,6600,Jacques Raguet,Christian Mautin,09 CV BOROEAUX,35,31,21,17,25,159,118,24
FRA,6402,Jacob-Antoine Lortat,Lortat-Jacob,20 C.V. PARIS,24,35,34,26,17,166,125,25
FRA,6812,Remi Tristan,Ducourneau,08 S.R.R.,37,46,25,22,18,178,126,26
SUI,5943,Laubli,Walser,,41,4,26,18,22,181,131,27
FRA,6586,Derche,Derche,20 CV PARIS,8,11,14,NP,NP,211,131,28
FRA,6198,Heitz,Wantz,13 CY GO LARGE,18,21,46,32,37,164,132,29
GBR,1*,White,Bailey,COLCHESTER,13,14,10,AB,NP,215,135,30
FRA,5280,Weber,Gehin,07 S.M. WEST,NP,16,30,38,29,217,137,31
FRA,5861,Ribadeau,Ribadeau,,14,22,36,48,44,194,140,32
FRA,6672,Nadaud,Gaudez,07 CHAP S/ERO.,40,5,35,39,AB,222,142,33
FRA,6613,Robert Fossard,Vincent Barthélemy,12 LES LECQUES,49,23,33,27,36,198,143,34
FRA,5969,Doree,Rotily,11 MARSEILLE,27,45,27,36,30,195,144,35
SUI,6300,Baldelweg,Baldelweg,,22,30,48,24,NP,228,148,36
FRA,6529,Girardin,Garandeau,10 GRAU DU ROI,32,41,24,43,28,198,149,37
FRA,6245,Bornert,Bornert,21 CN PAYS OR.,46,33,37,34,31,211,159,38
FRA,6101,Villaume,Pilorget,56 S.R. VANNES,43,56,31,35,34,229,167,39
FRA,6465,Pellissier,Grenier,20 C.V. PARIS,42,32,47,37,32,220,167,40
FRA,6858,Boite,Canzano,20 C.V. MEAUX,20,67,32,52,41,237,169,41
FRA,6722,Thibault Di Pede,Strasvogel,03 DASSAULT EL,23,43,56,46,40,240,176,42
FRA,5885,Silvestre,Dellagaspera,20 CN PUTEAUX,19,36,54,45,NP,258,178,43
FRA,6667,Cavalic,Dadis,09 BORDEAUX N.,52,PE,38,30,35,252,179,44
FRA,6036,Demeocq,LeCarpentier,20 YC PECQ,34,34,51,44,39,242,185,45
GBR,6124,Brooks,,S.C. MAIDSTONE,39,NP,NP,13,8,273,193,46
