Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Points Total,Points Netto,Place
FIN,9069,Mikko Laine,Tuomas Laurila,M,[3],1,1,1,1,1,3,2,1,1,15,12,1
FIN,9043,Hannu Pöyry,Matti Dillemuth,VVK,1,3,[4],3,3,4,2,1,2,2,25,21,2
FIN,8053,Petri Ebeling,Juhani Heimsch,HSK,4,2,2,2,4,2,1,3,3,[5 DNF],28,23,3
FIN,8912,Raimo Raita,Juha Nurmela,Vene 71,2,4,3,[5 DNF],2,3,5 DNS,5 DNS,5 DNS,5 DNS,39,34,4
