2,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Boat Name,Points Total,Points Netto,Place
FIN,9069,Rosemarie Hartman,Tuomas Laurila,M,1,1,1,2,1,1,[3],1,1,,12,9,1
FIN,8927,Kaj Lindfors,Johan Halonen,ASS,[5 DNC],5 DNC,5 DNC,1,2,2,1,3,2,,26,21,2
FIN,9043,Hannu Pöyry,Matti Dillemuth,VVK,2,2,2,[4],3,3,4,2,4,,26,22,3
FIN,8907,Mikko Laine,Ilkka Tuomi,TPS,3,[5 DNS],5 DNS,3,4,4,2,4,3,,33,28,4
