Nation,Boat No,Skipper,,Boat,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Total,PS Place
AUS,0,M. Quirk,G. Lange,The White Boat,7,4,1,1,1,1,2,dns,17,1
AUS,8839,S. Higgins,P. Marsh,Hawaii Five 0,2,2,9,4,8,4,1,1,22,2
AUS,0,C. Jackson,D. Holden,Farm,1,8,7,2,5,2,5,3,25,3
AUS,0,P.Gray,R. Machin,Skat,4,5,25,8,3,3,3,2,28,4
AUS,0,A. Hewson,Kane Sinclair,Literacy Circle,3,1,10,10,7,5,4,4,34,5
AUS,0,R. Deussin,J Spencer,Slash,6,7,6,7,4,6,6,8,42,6
AUS,0,M. Higgins,A. Chisholm,Groove Train,12,6,8,5,24,8,9,9,57,7
AUS,0,W. Rooklyn,D Nicholson,x,10,17,11,3,10,10,10,6,60,8
AUS,0,M. Thompson,D. Clayton,Squad Five O,18,3,4,17,2,12,16,7,61,9
AUS,0,R. Gallimore,M. Jackson,5 Oh Magic,14,10,20,6,11,7,8,5,61,10
AUS,0,J. Mitchell,M. O'Donnell,Mitchell Sails,11,11,14,12,9,dnf,7,13,77,11
AUS,0,B.Van Munster,A.Morgan,vanmunsterboats.com,17,16,2,11,21,11,13,14,84,12
AUS,0,E. Alexander,I. Gregg,Alexander Association,5,14,21,29,17,13,14,10,94,13
AUS,0,P. Woolman,P. Scapens,Intergalactic 2 min....,8,12,18,14,15,15,20,15,97,14
AUS,0,N. Long,L. Evans,Whatever,9,9,22,16,22,19,dnf, ,97,15
AUS,0,B.Cuneo,B. Boulton,Space Frame K.I.S.S,dnf,20,27,13,6,14,12,12,104,16
AUS,0,M. Babbage,James McAllister,Alvin,21,15,17,18,28,9,11,16,107,17
AUS,0,P.Drinkwater,D.Williams,Da-Eegits,24,19,3,9,12,22,24,dns,113,18
AUS,0,S. Ovendon,L. Hornsby,The Missus,15,22,5,23,13,18,25,20,116,19
AUS,0,S. Olsen,K Ormandy,Swing Shift,13,13,26,25,20,17,17,11,116,20
AUS,0,M. Pike,M. Korobacz,Sleek,22,18,15,24,18,16,18,19,126,21
AUS,0,C. Went,P Pearson,Schiavello,19,26,16,21,23,24,23,25,151,22
AUS,8785,I. Burford,W. Boyd,SS Cardsharks,20,28,12,19,16,28,30,dnf,153,23
AUS,0,R. Menzies,C Hunt,Forever Aboard,16,25,28,22,14,dnf,dns,17,156,24
AUS,0,C. Quirk,B. Clarke,Constipated,23,21,13,26,26,21,dnf,dns,164,25
AUS,0,B. Robinson,P. Harris,Grumpy Old Men,27,29,23,27,27,23,19,24,170,26
AUS,0,B.Edwards,A Murray,Literacy Circle Reading,26,27,19,28,31,26,21,23,170,27
AUS,0,G. Robinson,K. Penfold,Sea Saw,dnf,23,24,32,25,20,27,22,173,28
AUS,0,B. Fussell,J. Fussell,FussBuss,25,30,30,33,29,27,15,18,174,29
AUS,0,T. Bale,C. Bale,Grey Ghost,29,32,31,15,19,25,29,29,177,30
AUS,0,S. Cronin,R. Gorrell,Savage Live Worms,28,24,29,20,32,30,26,26,183,31
AUS,0,S. Bannister, ,Fangin Hoons,30,31,33,30,33,29,22,21,196,32
AUS,0,C. Ejlertsen,Phil Tooth,Rage,dns,dns,32,31,30,dnf,28,27,216,33
AUS,0,J. Cook,S. Cook,Ned,31,32,34,34,34,31,31,28,221,34
