Nation,Sail No,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Points,Pos
RSA,406*,Thomas Funke,Peter Funke,TYC,2,1,2,4,4,4,1,10,1st
RSA,8340,Graeme Willcox,Alan Haylett,VLC,DNF,DNC,1,3,1,1,5,11,2nd
RSA,8406,Rudolph Holm,Rick Shearar,PSC,3,2,3,1,5,3,3,12,3rd
RSA,8789,Tony Murray,K Holtzhausen,PSC,4,3,DNC,DNF,2,5,4,18,4th
RSA,8615,Hans Rogotski,Peter Roos,PSC,1,DNC,DNF,DNC,3,2,2,19,5th
RSA,8121,Albrecht Holm,Warwick Ham,PSC,5,4,DNC,2,DNC,DNC,DNC,33,6th
RSA,7457,Phil Bennet,Mark Abbotts,VLC,DNF,DNC,DNC,DNC,DNC,DNC,DNC,55,7th
RSA,6256,Bradley Smith,Zane Du Toit, ,DNC,DNC,DNC,DNC,DNC,DNC,DNC,55,7th
RSA,7525,Matthew McRystal,Nicholas Abbotts,VLC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,55,7th
RSA,4561,Reg Wendelstadt,Wynand Engelbrecht,PSC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,55,7th
