Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points Total,Points Netto,Place
BEL,8613,Kim Van Assche,Tessa Liebens,LZF,2,[5],1,3,3,1,15,10,1
FRA,9270,Philippe Boite,Marin Carnot,CVSQ,1,1,2,1,[6],6,17,11,2
FRA,9050,Hervé de Kergariou,,Y C De L'ile De France,[7],6,7,2,2,3,27,20,3
FRA,8954,Muriel Jeanne,Franck Agrapart,CNHS,3,2,5,[11],5,5,31,20,4
FRA,9019,Véronique Brenet,Jean-Pierre Peter,AQUATIC CLUB D'ALSACE ET DE LORRAINE,4,7,3,6,1,[10],31,21,5
FRA,9081,Cédric Crets,Lionel Lambert,RCNV,5,4,6,4,[11],4,34,23,6
FRA,9219,Elisabeth Neidhart,Thibault Di Pède,Y C DE L'ILE DE FRANCE,[9],9,4,5,7,2,36,27,7
BEL,9121,Paul Gorremans,Marie-Pierre Gorremans,NLM,6,3,8,9,[10],7,43,33,8
FRA,8363,Guillaume Delacroix,Xavier Decaudin,Y C BOULONNAIS,8,[11],9,8,4,8,48,37,9
BEL,9163,Pierre Gorremans,Jean-Emmanuel Gorremans,NLM,11,8,[13],7,9,13,61,48,10
FRA,921*,Timoté Barbier,Guillaume Barbier,S.R.C. Sud-Oise,[12],10,10,12,8,11,63,51,11
BEL,9064,Philippe Vandersteen,,Sneh,10,12,12,10,[13],12,69,56,12
BEL,8844,Frank Boonen,Ronald Vanthoor,NLM,[15 DNS],15RET,11,13,12,9,75,60,13
BEL,8521,Inka Näkkäläjärvi,Lotte Dewaelheyns,EMK,[15 DNS],13,14,14,15DNS,15DNS,86,71,14
